	BR	FD	HN	KP	LA	MK	NL	OV	PT	SC
IF1	(-0.022501359676670975-0.03181983300541382j)	(-0.01200416702830813-0.04380694241682346j)	(-0.03482374642302772+0.05502142810367985j)	(-0.026566947943489475-0.02163328066380094j)	(-0.018530676179849666-0.002167179822586429j)	(-0.005080099503701327-0.02381208413920711j)	(-0.028805285627368504-0.022890240439426855j)	(0.003478247292311199+0.0003903304497460343j)	(-0.03729180761263486+0.03056078503044274j)	(0.005653247128282475-0.022317526671380327j)
IF2	(-0.018538095379466556-0.0159477595522358j)	(-0.018168146395705815-0.03004627104273054j)	(-0.013876701712105258+0.052921031812616266j)	(-0.023188600822615906-0.013896644977581436j)	(-0.012527789257124259-0.0024989765472137803j)	(-0.007555354269633176-0.015784796128061895j)	(-0.02748502005598363-0.02011861886943053j)	(0.0061685615529909945+0.010875141450557879j)	(-0.013517922008180357+0.03925607405875729j)	(0.018490675116562025-0.023577112288197935j)
IF3	(-0.009103346170795229-0.013332933219719723j)	(-0.01125192818035117-0.029634125552351284j)	(-0.011052635445040837+0.05480194069213674j)	(-0.019193128972151884-0.014608475921881876j)	(-0.007962308213104745-0.0017502554247132074j)	(-0.0004989348414178741-0.009894380478478812j)	(-0.026076076384816217-0.018464756117078374j)	(0.02639288641553255+0.011527265641890227j)	(-0.014748800644727434+0.039737880392165706j)	(0.03230164143864302-0.02665435520630721j)
IF4	(-0.0038081733801638685-0.007620881107108932j)	(-0.01239572089300718-0.023106225219285768j)	(-0.0018557501340884916+0.059081991288692064j)	(-0.019898026165331935-0.00815569831910267j)	(0.002694024655410292+0.003979442593529301j)	(0.011554685660274167-0.006257406852039103j)	(-0.017424712512914477-0.011290700688756268j)	(0.042177881803432925-0.002612917299722646j)	(-0.006453641404491916+0.056533467161739556j)	(0.038874906053928196-0.02471839295909035j)
IF5	(0.0032718487878636133+0.0018478030712870508j)	(-0.006766937694533438-0.0014395507060824136j)	(0.037893923172405995+0.05156066407468734j)	(-0.006328561581535635+0.01180347152158308j)	(0.02139040681729782-0.004479159798737059j)	(0.019935782122853036-0.01850596209595668j)	(-0.0071477940955880885-0.005352316795511159j)	(0.03289577871358819-0.04211227896538381j)	(0.03694058521349839+0.051032173257512824j)	(0.03311042143861394-0.035972813172319575j)
IF6	(0.02523366404140312+0.0010521260731175886j)	(0.024058667809855883-0.0033328542523599057j)	(0.06854617865910276+0.016255155060564394j)	(0.02148916986871951+0.007369816566583721j)	(0.025243408334583158-0.033892234748109124j)	(0.014167155832039723-0.03857079825426033j)	(0.002934574642562402-0.008722526836214554j)	(-0.010774338681144902-0.054852738069916855j)	(0.0693328112256549+0.023429945664011704j)	(0.036231639291628294-0.04772711817662292j)
IF7	(0.04165131463649239-0.028016439080395535j)	(0.035374845913544485-0.048721945673748115j)	(0.058905038287199965-0.03501923587967836j)	(0.034183287066243906-0.028254401019808154j)	(-0.004642864171186444-0.05941424742676111j)	(-0.009751058668744287-0.051479132229143444j)	(0.007232298440539676-0.024723569603815984j)	(-0.03561101236317874-0.015693397639411317j)	(0.07772964711921383-0.035987556518956576j)	(0.025803769548670714-0.07858960687583892j)
IF8	(0.038396366364022695-0.05146629879334989j)	(0.0057809550537868985-0.0839735099077963j)	(0.028509237434988743-0.044219760154797484j)	(0.01448639923815435-0.05530447060136839j)	(-0.038067728853133115-0.049626695032744694j)	(-0.02624808708039041-0.04694258082637308j)	(-0.0027547119497807917-0.03943027755825458j)	(-0.002296246369474695+0.008348572624020039j)	(0.03819017414623469-0.060868301703086096j)	(0.0014951236476127715-0.10171061950809754j)
