	antennas	IF	DRArr	DLArr
0	BR	1	(-0.023753940483615402-0.030947858868704527j)	(0.02785903381403605+0.0271011913371731j)
1	FD	1	(-0.013868273482069041-0.04279093219028977j)	(0.004252697431143832-0.015656684794935802j)
2	HN	1	(-0.03614061441651397+0.05483087362222774j)	(0.01758538573463748-0.0010005107165498744j)
3	KP	1	(-0.027900692364696555-0.021711295764137082j)	(0.031364636955326285+0.0010163169416347408j)
4	LA	1	(-0.020063846027341084-0.0020089158010749507j)	(0.017524216805636674+8.668814947427773e-05j)
5	MK	1	(-0.005036645637617422-0.024052646726608312j)	(0.02662146647857735+0.04387330691614869j)
6	NL	1	(-0.028046356672612485-0.021372947478317385j)	(0.01307312429829848-0.016929406236991375j)
7	OV	1	(0.0023631941099984395-4.083317168333569e-05j)	(0.03136079275413046+0.0020917889528209986j)
8	PT	1	(-0.038729560968868496+0.031100970703132728j)	(-0.03114927789926968+0.005597401640239325j)
9	SC	1	(0.0018983057679676989-0.017944786308148906j)	(-0.004097340046377104-0.019963288723282204j)
10	BR	2	(-0.01961629766196583-0.014656697664476354j)	(0.01900479247386399+0.020636787258697838j)
11	FD	2	(-0.019837131131301422-0.02898311318645097j)	(0.015836637464122613-0.013009015358625864j)
12	HN	2	(-0.01538490430299828+0.05304010311337738j)	(0.015239801302303138+0.010134114357509973j)
13	KP	2	(-0.0247302012358821-0.013701525729716382j)	(0.025158275028989444-0.007574467705318733j)
14	LA	2	(-0.014122916328554648-0.0019491552871624585j)	(0.018676228579839468+0.011055024903535219j)
15	MK	2	(-0.007307624684144276-0.016056018767491395j)	(0.029356590340536597+0.04073455527244522j)
16	NL	2	(-0.026865556759650015-0.01886428117176224j)	(0.01309414981314966-0.012554185026539096j)
17	OV	2	(0.005063470005515206+0.010647586042859779j)	(0.023454809907043964+0.006343517315110095j)
18	PT	2	(-0.015120921804669533+0.03991829014224079j)	(-0.007262060811049476+0.013614517730721948j)
19	SC	2	(0.015110142094868328-0.01894623161250798j)	(-0.00845954300762147-0.02527822537758917j)
20	BR	3	(-0.010248311357277353-0.012158162158292931j)	(0.017600525764078705+0.01006899614533761j)
21	FD	3	(-0.013153232913352386-0.028852367157307244j)	(0.005483537766857344-0.019049387311047754j)
22	HN	3	(-0.012781680799986136+0.054444694462408925j)	(0.011015797835076594+0.007530677165493016j)
23	KP	3	(-0.020612367221769953-0.014403470474531199j)	(0.016047973309885805-0.00976346305713167j)
24	LA	3	(-0.00958011211908974-0.001296462116781263j)	(0.01519905220914773+0.007238486964705072j)
25	MK	3	(-0.00038510249331425204-0.009933145997506687j)	(0.03629341066870202+0.0316276411201121j)
26	NL	3	(-0.02542737024945842-0.017160527369920395j)	(0.00788512364450488-0.016377066425841014j)
27	OV	3	(0.025507928327448266+0.011041488277864499j)	(0.026960254187721765+0.0037838639393199796j)
28	PT	3	(-0.0162128436373603+0.04051348037289027j)	(-0.0072066906309617065+0.007556376478277482j)
29	SC	3	(0.028532843221502496-0.022007160105370547j)	(-0.017638771031223868-0.025375606261445877j)
30	BR	4	(-0.004997264148753664-0.006588021315630511j)	(0.01075281747427694-0.0017293581807497334j)
31	FD	4	(-0.014638763875618778-0.02230681766539927j)	(-0.008556174650502794-0.003630189191802984j)
32	HN	4	(-0.0036325601369741807+0.05882791562717139j)	(0.000927580835561337+0.012401977627204389j)
33	KP	4	(-0.021560787317829892-0.008168727469988226j)	(0.008271895989463242-0.010818148180463782j)
34	LA	4	(0.000959605836267523+0.0039781110818086895j)	(0.008406382838302728+0.013951018538008113j)
35	MK	4	(0.011853117245989947-0.006211865327453104j)	(0.03500756495984762+0.025792098547596606j)
36	NL	4	(-0.017177019819412685-0.009863711745628927j)	(-0.006821284593091679-0.016759805471675954j)
37	OV	4	(0.04136253559225819-0.003041796687794939j)	(0.026859506552162998-0.00693165028164512j)
