	antennas	IF	DRArr	DLArr
0	BR	1	(-0.026433416692718294-0.03025355427024667j)	(0.03064892364250839+0.02882521594196253j)
1	FD	1	(-0.01682157543004988-0.042267071307103415j)	(0.007240784792250124-0.015062800139132455j)
2	HN	1	(-0.03884499578111549+0.0545822218169978j)	(0.020058319154686713-0.0004976596124123239j)
3	KP	1	(-0.030423486013448173-0.021855609935028372j)	(0.034071957483411026+0.0009266802140181257j)
4	LA	1	(-0.022251137518811893-0.0017091377777583158j)	(0.020127669684310057+0.00027305989604413985j)
5	MK	1	(-0.003916138717148453-0.0298280360646526j)	(0.025785847058672453+0.035390690609841347j)
6	NL	1	(-0.0291478328046089-0.02000828593702432j)	(0.014611592001576213-0.016283779547204846j)
7	OV	1	(0.00023570479353162435-0.0006951035372571812j)	(0.033579256600221166+0.0017722310121374518j)
8	PT	1	(-0.04111474162612773+0.03134810400815172j)	(-0.02843432078673811+0.005859174050616492j)
9	SC	1	(-0.008400551593479818-0.005944089411271211j)	(0.006268272532568691-0.012370718130125309j)
10	BR	2	(-0.022060335035061097-0.013675084559711784j)	(0.021516657383730448+0.022709204027578794j)
11	FD	2	(-0.022534959543906573-0.028282773852955943j)	(0.018535948866340485-0.012377658701187412j)
12	HN	2	(-0.01826467217197428+0.053237089803847816j)	(0.01771733491933311+0.010612452486309931j)
13	KP	2	(-0.027157161395416247-0.013598959793076454j)	(0.027750133503828687-0.007362853972225828j)
14	LA	2	(-0.016102654429504124-0.0014619352185822056j)	(0.021087238911969137+0.011359919366442728j)
15	MK	2	(-0.006311712563270332-0.021585678287612892j)	(0.029270950608442245+0.0324136844035394j)
16	NL	2	(-0.02782212707887458-0.01743799298474398j)	(0.014465764976147282-0.011825834914569493j)
17	OV	2	(0.0029231490147812516+0.01027298585630426j)	(0.025656024404695315+0.006283596237734164j)
18	PT	2	(-0.01730676015781383+0.040338592424948166j)	(-0.004661250099354196+0.014005175506034173j)
19	SC	2	(0.006687453244514337-0.006058207497378855j)	(0.0010528264412085141-0.015107628351321248j)
20	BR	3	(-0.012649885324024205-0.011399772222033535j)	(0.020429733483202046+0.011946826753640775j)
21	FD	3	(-0.015926549929151886-0.02832415731310649j)	(0.008129049440763843-0.018488744332342207j)
22	HN	3	(-0.015819296314617155+0.05386331057346214j)	(0.012990752607205306+0.007972371118203106j)
23	KP	3	(-0.023002490422057632-0.014453083434094512j)	(0.018601518603381238-0.009665921957268977j)
24	LA	3	(-0.011616915315333492-0.0009293034310379328j)	(0.017585939475303472+0.00739774654228674j)
25	MK	3	(0.00035365974298572653-0.014136823590458565j)	(0.034180442759284495+0.023060148139945648j)
26	NL	3	(-0.026471412477575725-0.01584545541809247j)	(0.009169938295302993-0.015794633535574528j)
27	OV	3	(0.023477924830985115+0.010555080513262809j)	(0.029225160578618518+0.003578264255510997j)
28	PT	3	(-0.01844861225674794+0.04081655957231127j)	(-0.004712085248299428+0.007783965479656818j)
29	SC	3	(0.01803907242140674-0.009063448014618695j)	(-0.007783753749828067-0.016595693626592408j)
30	BR	4	(-0.007683106920519839-0.006251646569192082j)	(0.013828609229784706-0.00014529345973864633j)
31	FD	4	(-0.01761764994922718-0.022011559527619007j)	(-0.005673802993342729-0.0033124366183852902j)
32	HN	4	(-0.006942706695459532+0.05803132715546295j)	(0.0029923943721704913+0.012904182688660703j)
33	KP	4	(-0.02408167091320146-0.008567054069673662j)	(0.010990058804558812-0.010959272187959128j)
34	LA	4	(-0.0012717974059285124+0.004115301052591572j)	(0.011011395833061505+0.013927443429915153j)
35	MK	4	(0.013047185260440268-0.010344856114784915j)	(0.03339012245415148+0.016890947010003585j)
36	NL	4	(-0.018418668680225955-0.00866231624002569j)	(-0.005344032722005381-0.01636602543966741j)
37	OV	4	(0.03931126280041084-0.0037973365166080303j)	(0.029170139776411006-0.007391705736224517j)
38	PT	4	(-0.01052686351457899+0.05701905826823451j)	(-0.014648677811963612+0.024862733558685637j)
39	SC	4	(0.022781458947518873-0.007990478006075252j)	(-0.011629666897726067-0.013411901685625291j)
40	BR	5	(0.0002744743927936562+0.004123210512181083j)	(-0.0008486150744620569-0.013040511459982017j)
41	FD	5	(-0.011255547188461022+0.0010592097655352513j)	(-0.00650447711379589+0.014817420732589221j)
42	HN	5	(0.03197025366998927+0.053143669562275425j)	(-0.015464335207601706+0.01764107182152187j)
43	KP	5	(-0.010315042645672689+0.01293623348099093j)	(0.00403373725837886-0.006599498397552144j)
44	LA	5	(0.017551874006371683-0.003025163582330806j)	(-0.00041568130577171025+0.027914183673509854j)
45	MK	5	(0.021237795520680645-0.022602369599339447j)	(0.020117293329171605+0.028017853433206532j)
46	NL	5	(-0.007966576389370423-0.001968788054566198j)	(-0.020069464104592035-0.016804231070037794j)
47	OV	5	(0.029384344603545165-0.04245030369932839j)	(0.023457802311406928-0.011794028317090923j)
48	PT	5	(0.03326600705407976+0.05288159571562176j)	(-0.019136614994600377+0.04512236709915904j)
49	SC	5	(0.023099004683239197-0.014696810443717661j)	(-0.0026806709816020887-0.009533844996250517j)
50	BR	6	(0.02236032124190484+0.004668328184724619j)	(-0.028979501904015065-0.030636845892795986j)
51	FD	6	(0.020546441877908227+0.0010797831636977845j)	(-0.009332019402360892+0.02874767289631044j)
52	HN	6	(0.06420980744073457+0.02057019778331736j)	(-0.03953114490662405+0.025294905530056176j)
53	KP	6	(0.01785449909912732+0.010285756948766333j)	(-0.011817965933426216-0.005587807470827388j)
54	LA	6	(0.02204412424805504-0.030666002741560956j)	(0.00012565051757853498+0.04246886384169506j)
55	MK	6	(0.013568250698648417-0.04284789213436286j)	(-0.0019030749950033105+0.02976909623542737j)
56	NL	6	(0.003594258853967092-0.004136103906979447j)	(-0.04386350487822935-0.004381384246096467j)
