	antennas	IF	DRArr	DLArr
0	BR	1	(-0.026333268395348115-0.030239318856137093j)	(0.030524884064050788+0.028810328557881293j)
1	FD	1	(-0.016700218824547013-0.042236366821251j)	(0.007121439056724082-0.015023420686492994j)
2	HN	1	(-0.038591249597730005+0.05464313864052089j)	(0.019858768116345606-0.0004667851556308318j)
3	KP	1	(-0.03031380523185521-0.021797014023076516j)	(0.03397090548746862+0.0009778153347798526j)
4	LA	1	(-0.022145240582019846-0.0016765351793819774j)	(0.020020183655030516+0.0003175465289312022j)
5	MK	1	(-0.004069986260779692-0.02930749373381486j)	(0.025855322067306303+0.036087304937667965j)
6	NL	1	(-0.029033497229016977-0.01998334616448161j)	(0.01451338225414474-0.01628728398747822j)
7	OV	1	(0.0003260120076974968-0.0006347120373735227j)	(0.03348769147168244+0.0018504145261054085j)
8	PT	1	(-0.04100357322235188+0.031386761930054435j)	(-0.028542357338835686+0.0059025316274518465j)
9	SC	1	(-0.0076850833112772545-0.006520995027617371j)	(0.005696426419304309-0.012623532879513568j)
10	BR	2	(-0.021957046151804556-0.013661814296941481j)	(0.021405334388218317+0.022667533107082048j)
11	FD	2	(-0.022406375439064857-0.02826652340216917j)	(0.018419945371754873-0.012362052096262309j)
12	HN	2	(-0.017980319663810244+0.053233235265425755j)	(0.01749540414254793+0.01061514847861609j)
13	KP	2	(-0.027044128863626976-0.013560957799193037j)	(0.02764000001747818-0.007324327237410096j)
14	LA	2	(-0.01599586174924807-0.001443064795447935j)	(0.020979437195358476+0.011393204019491697j)
15	MK	2	(-0.00643708139463061-0.021052196030378174j)	(0.02921538357477788+0.03316767078488378j)
16	NL	2	(-0.027711192750494155-0.017444500887775726j)	(0.01435812824556333-0.01182873250952059j)
17	OV	2	(0.0030143832294241162+0.010318849472281516j)	(0.025549021096630625+0.006342823911224224j)
18	PT	2	(-0.01720244722190582+0.040368214594391744j)	(-0.004777820511950479+0.014032576939985403j)
19	SC	2	(0.00719590399960687-0.006750743449088319j)	(0.0005377545760324142-0.015562481081038066j)
20	BR	3	(-0.012556706890045313-0.011375686471976685j)	(0.02030890050807486+0.0119275304745933j)
21	FD	3	(-0.015803989102925613-0.02830669758457574j)	(0.00802239370859847-0.018450985567714455j)
22	HN	3	(-0.015518845530164426+0.05392160966147234j)	(0.01278794208971144+0.007997160793690852j)
23	KP	3	(-0.022895112533782642-0.01441083885755902j)	(0.018503136496376943-0.009627010472717887j)
24	LA	3	(-0.011515280526629973-0.0008970866236971637j)	(0.017478609875311975+0.007438045897814593j)
25	MK	3	(0.0002620669724951449-0.013733278677282563j)	(0.03429738071728332+0.023805814882393198j)
26	NL	3	(-0.026350911870488675-0.0158283667137001j)	(0.009059632880190637-0.015803022165960526j)
27	OV	3	(0.023569611003651278+0.010602977454986307j)	(0.02913267734878914+0.003648801712228555j)
28	PT	3	(-0.018344539584804854+0.040854851144582476j)	(-0.0048188203985627485+0.00782182775732924j)
29	SC	3	(0.018739293639444196-0.009717078171492258j)	(-0.008279778200683959-0.016978055239108725j)
30	BR	4	(-0.007553427199121103-0.006197800751388135j)	(0.013690644819319154-0.00013809998494331545j)
31	FD	4	(-0.017496326757574388-0.02195708664332166j)	(-0.0057770628006808345-0.0032715475420138766j)
32	HN	4	(-0.006637368882798013+0.05812282500222795j)	(0.002799693063169548+0.012931113970150036j)
33	KP	4	(-0.02398369004270792-0.008501226596527961j)	(0.010898020888785952-0.010897300118892209j)
34	LA	4	(-0.0011732047221918273+0.00416406558751505j)	(0.010909110322871094+0.01398423459934619j)
35	MK	4	(0.012915767519047385-0.009933377768708838j)	(0.033440720633440765+0.01771524874318768j)
36	NL	4	(-0.01830127517912444-0.008633716014477396j)	(-0.005473617455709548-0.016349557124950096j)
37	OV	4	(0.03938876940539154-0.003721431211012875j)	(0.029078907863499242-0.007315712035137251j)
38	PT	4	(-0.0104282578151386+0.057080659274298604j)	(-0.014749576381172344+0.024920249917562518j)
39	SC	4	(0.023558542482380988-0.008664818486979843j)	(-0.012270327932443155-0.013716256632205753j)
40	BR	5	(0.0004081693973329391+0.004159529034351056j)	(-0.0009494725095842532-0.013085560307610556j)
41	FD	5	(-0.011139162012301123+0.001068441203907197j)	(-0.0066196515448644876+0.014840041829067539j)
42	HN	5	(0.03230590155949108+0.05311790535919154j)	(-0.015647604395398806+0.017650962374601127j)
