	antennas	IF	DRArr	DLArr
67	OV	7	(-0.03561101236317874-0.015693397639411317j)	(-0.028781754701518742-0.01928629841579032j)
68	PT	7	(0.07772964711921383-0.035987556518956576j)	(-0.01014070377012376+0.04890120257719644j)
69	SC	7	(0.025803769548670714-0.07858960687583892j)	(-0.011853923035042853-0.04222586414923767j)
70	BR	8	(0.038396366364022695-0.05146629879334989j)	(-0.08445400199599361-0.014587128623932575j)
71	FD	8	(0.0057809550537868985-0.0839735099077963j)	(0.0034989174470101947+0.019095469530385413j)
72	HN	8	(0.028509237434988743-0.044219760154797484j)	(-0.04355565687337185+0.03630554396698587j)
73	KP	8	(0.01448639923815435-0.05530447060136839j)	(-0.047725733194630325+0.00849282351997399j)
74	LA	8	(-0.038067728853133115-0.049626695032744694j)	(0.018795605167943527+0.015659916512900225j)
75	MK	8	(-0.02624808708039041-0.04694258082637308j)	(-0.06722005293617372+0.04046981357099618j)
76	NL	8	(-0.0027547119497807917-0.03943027755825458j)	(-0.026837901907254418+0.012343496012199837j)
77	OV	8	(-0.002296246369474695+0.008348572624020039j)	(-0.042206947615483756+0.002872409673689061j)
78	PT	8	(0.03819017414623469-0.060868301703086096j)	(0.006500045928312788+0.023302974891080526j)
79	SC	8	(0.0014951236476127715-0.10171061950809754j)	(-0.0395721423445475-0.04434143514941833j)
