	BR	FD	HN	KP	LA	MK	NL	OV	PT	SC
IF1	(0.026447887770648864+0.025045007391245096j)	(0.001801812371407626-0.0161560435234764j)	(0.015922846769269798-0.000676823096789889j)	(0.029585084170377373+0.0011834378794968628j)	(0.015780892793328078-8.170676679177323e-05j)	(0.026907284736951035+0.0449361910031739j)	(0.012874980693822816-0.016599687403878627j)	(0.029998611736753677+0.001817979675675887j)	(-0.03343628741141466+0.00495375236696278j)	(-0.007615745274532126-0.02256818889585412j)
IF2	(0.01789782911566707+0.018525198129699466j)	(0.013389301313590778-0.013667277271073907j)	(0.013643640781324096+0.01020186042058641j)	(0.023244559036140786-0.00784661533426533j)	(0.01692622629238659+0.010918347949726665j)	(0.02950197331069631+0.041783362250568674j)	(0.012825440819496254-0.012184316494223146j)	(0.02190883845336473+0.005710211339212987j)	(-0.009482359206799622+0.012858578296517173j)	(-0.011969158791803472-0.029017997563529206j)
IF3	(0.0162648464960255+0.007783356374854725j)	(0.003316684846874021-0.01982158221611676j)	(0.00953163445288464+0.007538950757058544j)	(0.014057780636214098-0.009898296489326565j)	(0.013652851599873674+0.0070908186769357544j)	(0.036925014553196994+0.032639227690779475j)	(0.007890114898345046-0.01591551884666674j)	(0.025362708307384775+0.003535535644596781j)	(-0.00908108124209237+0.007050168037810627j)	(-0.02115673469803326-0.02861699319092207j)
IF4	(0.00905455098420948-0.003778091270716551j)	(-0.0109404398137334-0.004235677121758322j)	(-0.0005749277268886849+0.012472491139120028j)	(0.006085047474288181-0.010511203612110753j)	(0.0066685435587564455+0.013801552434972032j)	(0.035634144623469845+0.026910341136406984j)	(-0.006786688804019999-0.016506918877331255j)	(0.02507927754839327-0.006768709644777609j)	(-0.01958245579678285+0.023888533184806954j)	(-0.026746474939225-0.022792271513616843j)
IF5	(-0.004487067356177733-0.017925488518236114j)	(-0.011610905446475635+0.012069839571785783j)	(-0.01843157406390694+0.016022723715730627j)	(-0.0007968123085188667-0.007809480768518839j)	(-0.004696087600179154+0.026602954946398708j)	(0.01692916636743042+0.038416148790262894j)	(-0.02135486351683644-0.017383881810301084j)	(0.019432585039133164-0.012411064860165591j)	(-0.023822066031576508+0.042799588708786904j)	(-0.015396638347740015-0.02390149150545101j)
IF6	(-0.031857629477531124-0.036488639294786754j)	(-0.013799529188747411+0.023742463084475075j)	(-0.04175927709539743+0.021482679524589165j)	(-0.016444961321274244-0.008996261485893265j)	(-0.0036464845665960996+0.03937253507473394j)	(-0.008227477173357927+0.0385854922292115j)	(-0.044741091813480884-0.006262492649740323j)	(-0.0015810225555913456-0.023190889902105476j)	(-0.019844109146313477+0.05259981194936233j)	(-0.006647756741436959-0.028098241610130175j)
IF7	(-0.0651747055489805-0.041380914648978244j)	(-0.00964756284084406+0.03140983946296731j)	(-0.05543017897595709+0.027743611951760734j)	(-0.03533891235190736-0.006010653652235977j)	(0.003428423365564429+0.03561180784625932j)	(-0.04354054697691665+0.03411437223953259j)	(-0.046508281873970714+0.011377948488512405j)	(-0.028781754701518742-0.01928629841579032j)	(-0.01014070377012376+0.04890120257719644j)	(-0.011853923035042853-0.04222586414923767j)
IF8	(-0.08445400199599361-0.014587128623932575j)	(0.0034989174470101947+0.019095469530385413j)	(-0.04355565687337185+0.03630554396698587j)	(-0.047725733194630325+0.00849282351997399j)	(0.018795605167943527+0.015659916512900225j)	(-0.06722005293617372+0.04046981357099618j)	(-0.026837901907254418+0.012343496012199837j)	(-0.042206947615483756+0.002872409673689061j)	(0.006500045928312788+0.023302974891080526j)	(-0.0395721423445475-0.04434143514941833j)
