	antennas	IF	DRArr	DLArr
0	BR	1	(-0.02568895717057084-0.030288110481813648j)	(0.029818188496303463+0.028533499585741997j)
1	FD	1	(-0.01601687224744203-0.04223513213539996j)	(0.006442572101246844-0.014995907959522239j)
2	HN	1	(-0.037541779488550635+0.05479662943415263j)	(0.019014137819528636-0.0006036970582190845j)
3	KP	1	(-0.02968314634263447-0.02163170010643693j)	(0.033371369929450896+0.0010880822885592726j)
4	LA	1	(-0.021582926035562677-0.0016523591696418012j)	(0.0194121464959672+0.00041468057846975567j)
5	MK	1	(-0.004571156719381174-0.02695042596099686j)	(0.026052650910087054+0.03931077839235342j)
6	NL	1	(-0.02851329723434108-0.02007022698925488j)	(0.01403066315800443-0.016472400631352867j)
7	OV	1	(0.0008874703243217073-0.0003904046090930972j)	(0.03295127840571481+0.0021315168247685308j)
8	PT	1	(-0.040415608431303734+0.03145937776481661j)	(-0.029165109928577654+0.0059592615846306785j)
9	SC	1	(-0.004508278365535921-0.009958947615431906j)	(0.0025849402937316982-0.014671953510058783j)
10	BR	2	(-0.021359438719629628-0.01371757976780484j)	(0.020734154430964692+0.022334381768317254j)
11	FD	2	(-0.021769730233589708-0.02825823839354455j)	(0.017855640019817383-0.012369385493774764j)
12	HN	2	(-0.01690414218427159+0.05322979238774349j)	(0.016667944139829218+0.010453269848704328j)
13	KP	2	(-0.026455848742033945-0.01344485912753823j)	(0.027091015279422738-0.007227049460942313j)
14	LA	2	(-0.01550807291523176-0.0014304603208173537j)	(0.020461070661916964+0.011450096721892424j)
15	MK	2	(-0.006945334487375422-0.0189386520876646j)	(0.02924045939054586+0.036288239909537126j)
16	NL	2	(-0.027283865656222917-0.017594565933123554j)	(0.013883176470439003-0.012003302422205061j)
17	OV	2	(0.0035107143169349517+0.010507860990017598j)	(0.025051639818209553+0.006574864557028578j)
18	PT	2	(-0.016689119132175374+0.04044285253075513j)	(-0.005322177884668689+0.014063263831825027j)
19	SC	2	(0.009596695642513064-0.010402981702800976j)	(-0.0022006562400159577-0.018302434715985902j)
20	BR	3	(-0.011960375067811993-0.01137381651649394j)	(0.019591326190346644+0.011666849372163083j)
21	FD	3	(-0.015137111862804791-0.028281424379918915j)	(0.007441701454076312-0.018427901306280588j)
22	HN	3	(-0.014451899270209184+0.05415593143110982j)	(0.012089772454092939+0.007918501635351825j)
