	antennas	IF	DRArr	DLArr
0	BR	1	(-0.02599420135262364-0.030255978849629675j)	(0.03013530839760982+0.028687767592439867j)
1	FD	1	(-0.016313001575512173-0.04221804759283246j)	(0.006739439547842363-0.014971200416084149j)
2	HN	1	(-0.03793723021851533+0.05475683809587144j)	(0.01933707399950919-0.0005180605468219712j)
3	KP	1	(-0.02995987322921364-0.021677061587566125j)	(0.03364686446783968+0.0010535091694666406j)
4	LA	1	(-0.021825237835649998-0.001648369477430385j)	(0.019671809886005+0.00039718639299598347j)
5	MK	1	(-0.004389382490390016-0.027877734090385627j)	(0.02597223926726023+0.03802941998546117j)
6	NL	1	(-0.02870927636991979-0.019994685142206495j)	(0.01423885092010605-0.016390054600133135j)
7	OV	1	(0.0006467295056954456-0.0004893569309767059j)	(0.033179725405988104+0.002032092931926402j)
8	PT	1	(-0.04066311303013009+0.03144601250357597j)	(-0.02889363409806102+0.005949847587278834j)
9	SC	1	(-0.0057904600010532555-0.00844307699281453j)	(0.003909684932062736-0.013701039364972523j)
10	BR	2	(-0.02164298663718713-0.013667935555581039j)	(0.021052196313820458+0.022510655205994334j)
11	FD	2	(-0.022047805200534697-0.02824362319145103j)	(0.018102945605932553-0.012343160471961491j)
12	HN	2	(-0.017297348276564446+0.05325097658087107j)	(0.016964794864076937+0.010549374745856746j)
13	KP	2	(-0.026714521368320355-0.013473776155533093j)	(0.027341346116791062-0.007245363567892379j)
14	LA	2	(-0.01571302521778835-0.0014189052562534595j)	(0.020683037394142626+0.01145269228270516j)
15	MK	2	(-0.006789011155035326-0.019751544057845082j)	(0.02916885240012333+0.03506652971616438j)
16	NL	2	(-0.0274431006907803-0.017498202986268148j)	(0.014052981746839487-0.011902892371951725j)
17	OV	2	(0.0032876910949584484+0.010441105421494686j)	(0.025274092729000962+0.006497770406028244j)
18	PT	2	(-0.01691011385495129+0.04043002486018707j)	(-0.005085286831129048+0.014069840048541084j)
19	SC	2	(0.00864220784844979-0.008835524860458585j)	(-0.0010057425237106857-0.01706939531993098j)
20	BR	3	(-0.012232360049713795-0.01136500769026188j)	(0.019912421917189515+0.011805986017981832j)
21	FD	3	(-0.01542568895493546-0.028281080185591407j)	(0.007691807757992289-0.018401617663015676j)
22	HN	3	(-0.014822293850502676+0.05407063914843774j)	(0.012313779076013163+0.007977589817154062j)
23	KP	3	(-0.022566004928806616-0.014317894987912928j)	(0.018207308060999326-0.0095380891165969j)
24	LA	3	(-0.011217365849826312-0.0008483771433954807j)	(0.01716747341998676+0.007511593565737617j)
25	MK	3	(-1.907645222197437e-05-0.01265191655480717j)	(0.0345724367956861+0.02577879423120038j)
26	NL	3	(-0.02604631360386046-0.0158715801755701j)	(0.008787805344214928-0.015864600488506995j)
27	OV	3	(0.02384132905203175+0.010730828393903913j)	(0.02884792101140811+0.003808671418634668j)
28	PT	3	(-0.01804265078027731+0.04093770852981811j)	(-0.005130040555477961+0.007878929562004713j)
29	SC	3	(0.020625416165316744-0.011829274549919047j)	(-0.009899254169234727-0.018329263241377597j)
30	BR	4	(-0.007168229945951246-0.0060816864859198185j)	(0.013252611074900887-0.00018317506834132866j)
31	FD	4	(-0.017115323214419106-0.021843123718436573j)	(-0.006088919699738041-0.003207457080634739j)
32	HN	4	(-0.00592981335821487+0.05839934414538534j)	(0.0023903819838978894+0.012886179527969588j)
33	KP	4	(-0.023665903775373427-0.008332473051006437j)	(0.010600088283131975-0.010774474986151488j)
34	LA	4	(-0.0008738795170121426+0.0042487057507491705j)	(0.010595367798542053+0.014112231446010582j)
35	MK	4	(0.01262122706686107-0.00891597639425442j)	(0.03370175786488993+0.019788469999558977j)
36	NL	4	(-0.01800878116559686-0.008632382977956871j)	(-0.005800056498798781-0.01635755109844921j)
37	OV	4	(0.03964223784222979-0.003524093327211537j)	(0.028815393153779303-0.007129759507695815j)
38	PT	4	(-0.010113042493213919+0.05720819366209052j)	(-0.015062705244529594+0.025035980764232094j)
39	SC	4	(0.02566127893700849-0.010641608333074795j)	(-0.014176667412128204-0.01463761448617433j)
40	BR	5	(0.0008208835026592153+0.00413397979461057j)	(-0.0012961343610401244-0.013273464412477363j)
41	FD	5	(-0.010786165139704089+0.0010538342046548623j)	(-0.0069419373363613585+0.014818911674915189j)
42	HN	5	(0.03315470192483928+0.05305385043733384j)	(-0.016023748127969816+0.017524370036997448j)
43	KP	5	(-0.009872076724615262+0.012983100921485408j)	(0.003620603494393468-0.0064774585747670475j)
44	LA	5	(0.017972440934528655-0.0030190519888256516j)	(-0.0008009744438245242+0.02794430990139426j)
45	MK	5	(0.020958058640996338-0.021126357117337805j)	(0.019310463651429074+0.03087162268365788j)
46	NL	5	(-0.007541629199274527-0.0020492252303859673j)	(-0.020451146040237005-0.016962820815450735j)
47	OV	5	(0.029759989398593225-0.04230218077544744j)	(0.023049463055304323-0.011653566204136788j)
48	PT	5	(0.03370994959996744+0.052922312190663214j)	(-0.01951799915432474+0.04519025397139552j)
49	SC	5	(0.02478665131451251-0.017760456043496044j)	(-0.004814496546462227-0.011559371231476018j)
50	BR	6	(0.022853750090204804+0.004413937041184306j)	(-0.029360105595692007-0.0310487318101886j)
51	FD	6	(0.021021747907830676+0.0007913024844719934j)	(-0.009797936898133195+0.02849275421693846j)
52	HN	6	(0.06525579673660505+0.01991494382455005j)	(-0.04004968729684937+0.024822924690261802j)
53	KP	6	(0.018348093806225995+0.010116699841269831j)	(-0.012298481790648836-0.005711257761473077j)
54	LA	6	(0.02248291716740842-0.030881193337955085j)	(-0.00026865175155425726+0.04224153633096685j)
55	MK	6	(0.014135114743064878-0.04154385543870901j)	(-0.0039035395911863227+0.03193748912253144j)
56	NL	6	(0.003956066227306503-0.0044358268191136965j)	(-0.04423225917541311-0.004779650560708552j)
57	OV	6	(-0.014487413224444546-0.053414623017320736j)	(0.0017640206233998452-0.021076204814318846j)
58	PT	6	(0.06690427205378864+0.02664626854690958j)	(-0.016281898995535116+0.05678884435826805j)
59	SC	6	(0.03441304664440282-0.027001796546383267j)	(-0.0009429100172133263-0.012887562816019223j)
60	BR	7	(0.04023158087374363-0.02398898240024485j)	(-0.06465678637252052-0.03622821034136968j)
61	FD	7	(0.033674184048882144-0.04379615394048688j)	(-0.006936385348762718+0.03728136634696161j)
62	HN	7	(0.05782940950042603-0.029787125871745642j)	(-0.05494052089061765+0.031700560847859834j)
63	KP	7	(0.03194091688380122-0.02446955481530883j)	(-0.03241562942518781-0.0010080249505023708j)
64	LA	7	(-0.006479198211507775-0.05523716491885556j)	(0.006119177688876545+0.039785602141808804j)
65	MK	7	(-0.011481408666340535-0.05342133138104711j)	(-0.036717815792713576+0.029904858462608003j)
66	NL	7	(0.010239160308416765-0.02076376669173722j)	(-0.04613737616429741+0.013429674184863983j)
67	OV	7	(-0.038402536357027554-0.01333350614199679j)	(-0.026141682286100164-0.01586170177455313j)
68	PT	7	(0.07662934859293419-0.0320520031520678j)	(-0.007609286896994292+0.05448732866985544j)
69	SC	7	(0.0315360346784229-0.05830163810473021j)	(-0.011286194520620877-0.02635355278787356j)
70	BR	8	(0.03719588787155254-0.04688963332274159j)	(-0.0856104893826864-0.009379663083542874j)
71	FD	8	(0.0045124953723114395-0.07820249059671373j)	(0.005349644707197922+0.02498525071628551j)
72	HN	8	(0.028524576250023585-0.038989711483481064j)	(-0.04355154286928169+0.0403629353902305j)
73	KP	8	(0.012801476659215926-0.05139676974814893j)	(-0.04508272075502452+0.014201539545734828j)
74	LA	8	(-0.039191836046454355-0.045063441825084524j)	(0.020744856469797117+0.019978171195953506j)
75	MK	8	(-0.027787544417160467-0.049197816197838286j)	(-0.05858869487806093+0.03845585646982171j)
76	NL	8	(0.0010988901830281666-0.036302001129823215j)	(-0.02646828246807117+0.01459989600762694j)
77	OV	8	(-0.005087222266515735+0.01082467226356456j)	(-0.03977201969782277+0.00677307953410102j)
78	PT	8	(0.03767685418003907-0.05686116145508225j)	(0.00832552922401311+0.02937268776415001j)
79	SC	8	(0.010897368766948324-0.08129773619326655j)	(-0.03962526032921137-0.02766540060644317j)
