	antennas	IF	DRArr	DLArr
0	BR	1	(-0.025249636675157696-0.030367069531289557j)	(0.029372496833240513+0.028292631517778145j)
1	FD	1	(-0.015578073152913366-0.04228437442558086j)	(0.00602135218572682-0.015090998824317975j)
2	HN	1	(-0.03715428659637864+0.05481799201406812j)	(0.01867801150762681-0.0007224434262216773j)
3	KP	1	(-0.02929741734804812-0.02160833909039277j)	(0.032976964704212776+0.0011212850105970801j)
4	LA	1	(-0.021250355698690222-0.001688040348053927j)	(0.019041776501156682+0.000386884803583247j)
5	MK	1	(-0.004730300614277982-0.025924976422556593j)	(0.02622979420578884+0.04076856936455086j)
6	NL	1	(-0.02831527311822241-0.020253557968347557j)	(0.013777343063028457-0.016595477264772646j)
7	OV	1	(0.0012110717549543787-0.00028228797373703815j)	(0.032626634213706866+0.002204267072381136j)
8	PT	1	(-0.04006136983496017+0.03144224250830694j)	(-0.02954199446831656+0.00592606872641549j)
9	SC	1	(-0.0028979948467856634-0.011966832112503906j)	(0.0008649369765754377-0.0160009256422011j)
10	BR	2	(-0.020964836151440458-0.01383947288022184j)	(0.020296034319071603+0.022057356678270953j)
11	FD	2	(-0.021384611483566275-0.028326045950718602j)	(0.017486567098467902-0.012460884535499477j)
12	HN	2	(-0.016486277581289767+0.05317049492636053j)	(0.0163490650058128+0.010333401818960376j)
13	KP	2	(-0.026084122190898014-0.013454547076897088j)	(0.02672285370029954-0.007244291929862876j)
14	LA	2	(-0.015222920801470533-0.0014831241989898137j)	(0.02013120166306486+0.011400356445282502j)
15	MK	2	(-0.00708381569414458-0.018003324470444074j)	(0.02934189175695965+0.03772937063109396j)
16	NL	2	(-0.027126129504659795-0.017810161226766492j)	(0.013676961230966697-0.012155165790466188j)
17	OV	2	(0.0038370857659334517+0.010574414407114808j)	(0.024732585042665595+0.00661554507759461j)
18	PT	2	(-0.016374530028021753+0.04040414911259265j)	(-0.005668858297157392+0.014013970528968035j)
19	SC	2	(0.010868828224140972-0.012493893210225917j)	(-0.0037554635999648566-0.020016289754391712j)
20	BR	3	(-0.011558703874704628-0.01145693612892109j)	(0.019132752786184235+0.01142666996550468j)
21	FD	3	(-0.014736896218844973-0.028327424581047513j)	(0.007078185018746303-0.0185125045227821j)
22	HN	3	(-0.014029863063961985+0.05422535727203647j)	(0.011849229569762346+0.007827704595294239j)
23	KP	3	(-0.021966066839560264-0.014246549355237824j)	(0.017613130816636742-0.009524476330566974j)
24	LA	3	(-0.01070882591113924-0.0008798163517968j)	(0.016587887428707603+0.007513397024824711j)
25	MK	3	(-0.00018012604911861414-0.011282294614735195j)	(0.03528964939608941+0.028556828585667066j)
26	NL	3	(-0.025663167073399613-0.0161681282444815j)	(0.008412511927767314-0.016052353313566022j)
27	OV	3	(0.024365480119695793+0.010891837060956902j)	(0.028288086678351743+0.003932511538261479j)
28	PT	3	(-0.017494560279802816+0.040953544562127464j)	(-0.005716505272082817+0.00784926861628368j)
29	SC	3	(0.023517526465207227-0.01549139030408552j)	(-0.012821071564114021-0.020887014788105094j)
30	BR	4	(-0.00640288872953575-0.006078092118192017j)	(0.01241748882086955-0.000498271262166491j)
31	FD	4	(-0.016402102192569476-0.02183829570045223j)	(-0.006750158104651981-0.003251474782436554j)
32	HN	4	(-0.005012983906569021+0.05860839430894869j)	(0.0018882286051873035+0.01268576779492199j)
33	KP	4	(-0.0230387218009789-0.008178751984549499j)	(0.009950036993570433-0.010713717500359233j)
34	LA	4	(-0.0003127340644251321+0.0042374653985718025j)	(0.009977950632977668+0.014176231409106572j)
35	MK	4	(0.012323955390128125-0.007551210544419375j)	(0.03420209481208657+0.022645125087858944j)
36	NL	4	(-0.01763190065700909-0.0088923204636672j)	(-0.006256613888350702-0.016488142552188518j)
37	OV	4	(0.04018468525431881-0.00329281577137365j)	(0.028263399862304604-0.006960683163500572j)
38	PT	4	(-0.009503332801242333+0.05726382101148306j)	(-0.015722817406480183+0.025077660011132506j)
39	SC	4	(0.029001656704588083-0.014234722239786208j)	(-0.01736219254944433-0.016645007991490605j)
40	BR	5	(0.0015175011959533019+0.003938052573009867j)	(-0.002022594332467559-0.013782219503017498j)
41	FD	5	(-0.010082762031594163+0.0008574626107375152j)	(-0.007604339106072774+0.014597397467040814j)
42	HN	5	(0.03426570189674692+0.05283678416979579j)	(-0.016468016313421954+0.01716292421675747j)
43	KP	5	(-0.009209919850148227+0.012921464289488784j)	(0.0029629571630915078-0.006546755377102373j)
44	LA	5	(0.018547305137446485-0.003171262425853098j)	(-0.0013876452616256784+0.027818728263757326j)
45	MK	5	(0.020874192216445833-0.019783385969539713j)	(0.018535364075961007+0.033766774579003456j)
46	NL	5	(-0.007108952178617277-0.0024014361411620125j)	(-0.020835884007213132-0.017320037837632567j)
47	OV	5	(0.03035327661170089-0.04225191233997591j)	(0.02247620610467529-0.01163438774954948j)
48	PT	5	(0.03437328610647817+0.052819332936413665j)	(-0.020106167506805803+0.04505076555698182j)
49	SC	5	(0.026752657907508196-0.022154707514348945j)	(-0.007351965680411554-0.014506848840607918j)
50	BR	6	(0.023499784243489162+0.003915456303215026j)	(-0.029896162836103118-0.03169309351728933j)
51	FD	6	(0.021612906017257003+0.0002563561566665851j)	(-0.010355804312086018+0.027936126816991355j)
52	HN	6	(0.06604660248934334+0.019261877051511007j)	(-0.04032198354328553+0.024131603169897556j)
53	KP	6	(0.018955574104395533+0.009722414790538434j)	(-0.012892691784468481-0.006091126406772029j)
54	LA	6	(0.022966752257158964-0.031324932068621546j)	(-0.0007845608845656304+0.04177724576278592j)
55	MK	6	(0.014798030067338434-0.04025331508146188j)	(-0.005693196008460204+0.034125687111150674j)
56	NL	6	(0.0041366719608061575-0.004970792301965613j)	(-0.044468370921332406-0.005371309519012137j)
57	OV	6	(-0.013889479900567247-0.053637851347485284j)	(0.0011701821282180066-0.021325410250680854j)
58	PT	6	(0.06746988454666253+0.026205352438992257j)	(-0.016818304519655967+0.056330519024712845j)
59	SC	6	(0.035057065379824164-0.03194330703734785j)	(-0.0023722937015479093-0.016573831197556427j)
60	BR	7	(0.04067787872111719-0.024705431697584827j)	(-0.06489895820633967-0.03707317042621148j)
61	FD	7	(0.03401701782432359-0.0446230180303988j)	(-0.007379986398614954+0.03659078472986864j)
62	HN	7	(0.05829225986415702-0.030765442623494108j)	(-0.05495317320658995+0.03091208465083446j)
63	KP	7	(0.032439307610405074-0.025091799221033984j)	(-0.032859431695225025-0.0016422273823291785j)
64	LA	7	(-0.006124505972536717-0.05588263373241871j)	(0.005751134157863025+0.039126478578820865j)
65	MK	7	(-0.010415854722867176-0.05260751431786727j)	(-0.03958415219487598+0.030884496762005883j)
66	NL	7	(0.010251238036077474-0.021418704165373822j)	(-0.0461587846622656+0.012726051658819154j)
