	0851+202, R1	0851+202, R2	0851+202, R3	2258-022, R1	2258-022, R2	2258-022, R3
IF1	(-0.03387450534986383-0.0012225005736660251j)	(-0.1036246227677726+0.055942724417412416j)	(0.0393153694449866-0.08180725170938581j)	(0.023866495215415326+0.00018391418522591404j)	(-0.14160678824822612-0.04807929776285797j)	(-0.08100693389344299-0.16605369864312766j)
IF2	(-0.03390058807395331+0.004341165943577605j)	(-0.09527297926632053+0.06302966669389577j)	(0.03487185361230478-0.07883318992860829j)	(0.02288623534030148-0.0028375670358093794j)	(-0.12445090623891435-0.035998390784780884j)	(-0.1220871059668258-0.07531670953718397j)
IF3	(-0.034485587214949286+0.0008718453548845886j)	(-0.10775418073844535+0.05010203058855578j)	(0.02212617816219441-0.06396694173650422j)	(0.021991285808525267-0.00046561652454160657j)	(-0.15038198357282437-0.030074731143126004j)	(-0.0287719586667109-0.11111365884369596j)
IF4	(-0.03476491622896192-0.001943329940951026j)	(-0.11057546773354252+0.039021876831281985j)	(0.042015764106244184-0.047466182648091604j)	(0.022334054774811696+0.001128371623834476j)	(-0.13186425601437846-0.0607088718484147j)	(-0.08403401023140082-0.05293405874574521j)
IF5	(-0.033312549867748516+0.01041405975286914j)	(-0.09634333646473686+0.080370823220244j)	(0.05027436220388894-0.04861478500779326j)	(0.021999766943255922-0.006991776856750878j)	(-0.14653174642586425-0.012463149176557472j)	(-0.04943304985229888+0.030050631866002566j)
IF6	(-0.02860278966570352+0.02058691580746829j)	(-0.06800373454433327+0.11507444654187506j)	(0.022234123277405933-0.057233592017242055j)	(0.01894390074414689-0.013131276375249726j)	(-0.14881812398140315+0.026338516261460436j)	(-0.08902344732682703+0.024207717978196947j)
IF7	(-0.020838778671587788+0.02916021206932568j)	(-0.027408806002529443+0.13789935497374473j)	(0.009685825510336416-0.07029959140919247j)	(0.013014756011787481-0.019446243915168627j)	(-0.1345794697954885+0.07030457130501784j)	(0.014151715466373394-0.006411782025550979j)
IF8	(-0.018059588716202755+0.030767359655897736j)	(-0.01077274119343575+0.1458433069251955j)	(-0.007007206495674912-0.0931401877707939j)	(0.011324239323953543-0.020148019416482487j)	(-0.10347211401920467+0.08877133206547749j)	(0.05497884044197687+0.055947419457262865j)
