	antennas	IF	DRArr	DLArr
0	BR	1	(-0.026498857547908573-0.030276149371831568j)	(0.030750319993714782+0.028836845631410542j)
1	FD	1	(-0.016920297123971313-0.042299909106697765j)	(0.007334351343667348-0.015098496441085801j)
2	HN	1	(-0.03906897574791204+0.054528699789642206j)	(0.020231324485891673-0.0005493192914591771j)
3	KP	1	(-0.03051156436171152-0.02190465243529356j)	(0.03414971266570206+0.0008719649988258004j)
4	LA	1	(-0.02233527994755064-0.0017403724761178008j)	(0.02021591266357783+0.0002267163229089094j)
5	MK	1	(-0.003750833283334234-0.030270080145377562j)	(0.025746467231476704+0.034806086871192306j)
6	NL	1	(-0.029245948043538014-0.020035210862460236j)	(0.014698829343168423-0.016300942858564604j)
7	OV	1	(0.00016713581497984457-0.0007475034428317672j)	(0.03364921035721047+0.00170719362606044j)
8	PT	1	(-0.04120176658167043+0.03131398392680066j)	(-0.028349757835748172+0.005812259141460168j)
9	SC	1	(-0.008971804516321093-0.005494429501894005j)	(0.006731767999234216-0.01215944747725441j)
10	BR	2	(-0.02213724088337222-0.013691654714318945j)	(0.021601904200190192+0.02272666171414245j)
11	FD	2	(-0.022633906797480043-0.0283005259318519j)	(0.018629933059646817-0.012392701990856637j)
12	HN	2	(-0.018510570105986224+0.05323578862033847j)	(0.017906363378876654+0.010599259191594096j)
13	KP	2	(-0.02724646602619814-0.013634802927825233j)	(0.02783538303653859-0.0074004707188592145j)
14	LA	2	(-0.016187056055719004-0.001482253600296694j)	(0.02117969485519144+0.011328137037502113j)
15	MK	2	(-0.006213820828297339-0.022039032234745865j)	(0.029334860708284824+0.03176765785588422j)
16	NL	2	(-0.027920306567455217-0.01744081862647836j)	(0.014558676638179686-0.01183444479249101j)
17	OV	2	(0.0028520403152249283+0.010231548517304217j)	(0.025738850740884427+0.006229064665067046j)
18	PT	2	(-0.01739073537196976+0.040312033448714056j)	(-0.004570170882247285+0.013977525961541797j)
19	SC	2	(0.006273538212062371-0.00554152412243264j)	(0.001467092284873094-0.014772243158667866j)
20	BR	3	(-0.012715185537591964-0.011424999063374141j)	(0.02052735288773372+0.011963156562072115j)
21	FD	3	(-0.016021754160914496-0.028348707738290346j)	(0.00820799222463907-0.018528288263536478j)
22	HN	3	(-0.016079515865076766+0.05380505082095195j)	(0.013164926093389304+0.007939383963645952j)
23	KP	3	(-0.023081776701122936-0.014497187398974464j)	(0.018672751321191467-0.009707308275128305j)
24	LA	3	(-0.011693422025769916-0.000957664443091055j)	(0.017668102501726488+0.007358456024804989j)
25	MK	3	(0.0004534027493066333-0.014517810708668824j)	(0.034094149002384076+0.022425795095791658j)
26	NL	3	(-0.026572471834514083-0.015868447950425j)	(0.009262685302698848-0.0157976492287594j)
27	OV	3	(0.02341229979944059+0.010511248525475702j)	(0.02929305878091507+0.0035167620945997123j)
28	PT	3	(-0.01852854531925788+0.040781887967886j)	(-0.00462969379633601+0.0077453562665333224j)
29	SC	3	(0.017479900009628353-0.00855308053926029j)	(-0.007416705111527757-0.016322590105936636j)
30	BR	4	(-0.00777380617555176-0.006308012578919667j)	(0.013934389205965073-0.0001540932307157593j)
31	FD	4	(-0.017713310354963555-0.022058761760468414j)	(-0.0055918163354001125-0.0033524861984279833j)
32	HN	4	(-0.007212397653018315+0.05796724298641054j)	(0.0031683386920056057+0.012865489245706477j)
33	KP	4	(-0.02416077144448832-0.008622966767858578j)	(0.01106464080324207-0.011012893680449692j)
34	LA	4	(-0.0013522091379981908+0.004073950403641903j)	(0.011094743956022486+0.013871176683304894j)
35	MK	4	(0.0131723169746589-0.010695235366637296j)	(0.03336131798168253+0.016190866101947317j)
36	NL	4	(-0.018521094421031392-0.008696011678730292j)	(-0.005234559322550165-0.01638679735279696j)
37	OV	4	(0.0392475939932072-0.0038608830103392324j)	(0.029243516593856097-0.00745567894324374j)
38	PT	4	(-0.010608177570408155+0.05696774048638364j)	(-0.014565798072951556+0.024806375125423424j)
39	SC	4	(0.022142267400394648-0.007475341582632152j)	(-0.011136789281093663-0.013193792410957543j)
40	BR	5	(0.0001742076528079369+0.004083614334935788j)	(-0.0007714039400893863-0.013022858256144978j)
41	FD	5	(-0.011349145676380054+0.0010417151862322184j)	(-0.0064089426292242135+0.01479036340180488j)
42	HN	5	(0.031679394446701835+0.0531667346806499j)	(-0.01528778474852606+0.017626950527078952j)
43	KP	5	(-0.010406445896439702+0.012903747253695499j)	(0.004115865235621739-0.006636539730093866j)
44	LA	5	(0.017460159356406078-0.0030448843478659534j)	(-0.0003303079921648162+0.02788918794858764j)
45	MK	5	(0.021319798583061142-0.022989309303506743j)	(0.020326594803748228+0.027337971060173185j)
46	NL	5	(-0.008074409616859863-0.001973328193601354j)	(-0.019960925165509315-0.01678970701626608j)
47	OV	5	(0.029305688718930654-0.04249670697966527j)	(0.02353803798680317-0.01184227993865678j)
48	PT	5	(0.03317271227885481+0.052853190146801496j)	(-0.019052799408520497+0.04508916008981348j)
49	SC	5	(0.02273279829970938-0.014095960412762738j)	(-0.002242096426666924-0.009172881424943956j)
50	BR	6	(0.022251925907410326+0.004697608081957933j)	(-0.028898930630650372-0.030584430360409153j)
51	FD	6	(0.020437695346350933+0.0011203853361543828j)	(-0.009228986144492562+0.028773172266840605j)
52	HN	6	(0.06394302342247728+0.02072710337765137j)	(-0.03937632350733299+0.025382075929889485j)
53	KP	6	(0.017747847074183837+0.010298644301293042j)	(-0.011714275783215477-0.005584631959770684j)
54	LA	6	(0.021940740107736455-0.030641108735220777j)	(0.0002201154028775391+0.04249771527096209j)
55	MK	6	(0.013441332305736204-0.04318909160569624j)	(-0.00141824784252517+0.029241103975862517j)
56	NL	6	(0.003494926733503421-0.004089145549515157j)	(-0.043759511328046945-0.004302456782077405j)
57	OV	6	(-0.015057218057932658-0.0533848753253616j)	(0.0023403335198925695-0.021019778159663372j)
58	PT	6	(0.06632313208097289+0.026900204263653176j)	(-0.015757481091330242+0.05694927231861444j)
59	SC	6	(0.03363831716494724-0.022493817791988325j)	(0.0007848796735411828-0.009437543653821068j)
60	BR	7	(0.0396989963196402-0.02340734167998745j)	(-0.06439461498458207-0.035567076256064575j)
61	FD	7	(0.0333165157841731-0.04316131010700273j)	(-0.006546279679416507+0.03778157752390922j)
62	HN	7	(0.057048781779653064-0.028539207717221075j)	(-0.05463460196659062+0.03239024388897322j)
63	KP	7	(0.03144631229186209-0.0239993195263646j)	(-0.03194918444606957-0.0005865621368962582j)
64	LA	7	(-0.006855300321448924-0.05474837176485342j)	(0.006492093070912158+0.040302755879858584j)
65	MK	7	(-0.012778536829126523-0.0548491650284178j)	(-0.03299930309009703+0.028572995816771217j)
66	NL	7	(0.009973470921339019-0.020261071788640665j)	(-0.04591516641014051+0.014036132388333683j)
67	OV	7	(-0.0389959650145779-0.012989143823432369j)	(-0.02558437351087359-0.015489891767328318j)
68	PT	7	(0.07615205588224316-0.03151946397442773j)	(-0.007243343936281455+0.054949880299706565j)
69	SC	7	(0.03263580830326049-0.05399198579672908j)	(-0.01058021087740562-0.0227081059991745j)
70	BR	8	(0.036589241573982426-0.046234568452857054j)	(-0.08535443945129265-0.008636278889162241j)
71	FD	8	(0.00410437640372456-0.0774840350233325j)	(0.005789951299274194+0.02557062935434186j)
72	HN	8	(0.02787508857830203-0.03735422369338277j)	(-0.04318398304272706+0.041303450806235514j)
73	KP	8	(0.012292868540501744-0.05083004740546394j)	(-0.04459277634757233+0.014690935210975984j)
74	LA	8	(-0.03959125171598277-0.044468271333065926j)	(0.021156585464361794+0.020564352980998252j)
75	MK	8	(-0.029258049183021474-0.05079543579342356j)	(-0.05402696664231691+0.03780615545335407j)
76	NL	8	(0.0008287296649346045-0.03563159188703651j)	(-0.02626820439938482+0.015285951376872959j)
77	OV	8	(-0.005671869595413457+0.01119502593879777j)	(-0.039128847875480585+0.007204970217092171j)
78	PT	8	(0.037169255313505595-0.056231120030092424j)	(0.008778510187480595+0.029910984997285634j)
79	SC	8	(0.012370196093572178-0.0770211641432149j)	(-0.03915550552399364-0.024149630601488364j)
