	antennas	IF	DRArr	DLArr
0	BR	1	(-0.002432221115389625+0.021909356996244647j)	(0.025337602370919116-0.007459793789039642j)
1	FD	1	(0.03260146035641509-0.009155415653682754j)	(-0.027814853042878757-0.010784299938915783j)
2	HN	1	(0.017671297112052883-0.004601302839969438j)	(-0.06810923719611846+0.0030598476699932272j)
3	KP	1	(0.03619500976944345+0.014750195884620997j)	(-0.003607297358563157+0.04153528296189815j)
4	LA	1	(0.04370537043806878-0.011349337595337962j)	(-0.041354812367905114-0.04662009441850944j)
5	MK	1	(-0.0082153083457141-0.011312578312702205j)	(-0.020472711911573935+0.005838534391034622j)
6	NL	1	(0.05574895310784473-0.005950259842735603j)	(-0.04352222326098489-0.05412938329554345j)
7	OV	1	(0.023594155592377212-0.051127351838324744j)	(-0.007799864589979252+0.0006990434268967117j)
8	PT	1	(0.03768880510005646-0.002800771636874462j)	(-0.09799122664422627+0.0024236933445618814j)
9	SC	1	(0.02955007389218604+0.032934085779134856j)	(-0.009630085382218094+0.03465006895757051j)
