	antennas	IF	DRArr	DLArr
0	BR	1	(-0.0023740102494280773+0.014660934158090489j)	(0.020471308466958153-0.003962571789585328j)
1	FD	1	(0.02940015910636776-0.012426835698645413j)	(-0.027598315269989165-0.012877331318358031j)
2	HN	1	(0.02038319267646183-0.011287072356230903j)	(-0.06130820315064719-0.0044195835081315j)
3	KP	1	(0.03716971848741708+0.013025954058417989j)	(-0.01601257499687378+0.04336259090515286j)
4	LA	1	(0.04285618223881048-0.013935627334573758j)	(-0.03453243451989871-0.05062943681094534j)
5	MK	1	(-0.003880607477472857-0.017161207241022682j)	(-0.027867792437262832+0.004626514550649747j)
6	NL	1	(0.04833830280802271-0.00590101924452729j)	(-0.03193211983477227-0.057779806471400706j)
7	OV	1	(0.029635483668127013-0.052647775471924015j)	(-0.014630998448786056+0.0032590447007224657j)
8	PT	1	(0.0353802023884714-0.00912802587786756j)	(-0.09468174887868706-0.016640035938162327j)
9	SC	1	(0.026620624179732565+0.030887328567618645j)	(-0.0158443230945579+0.03540183764493433j)
