	antennas	IF	DRArr	DLArr
0	BR	1	(-0.0021797013502781975+0.0031158682257052595j)	(0.008897737120926001-0.004634199154555511j)
1	FD	1	(0.0291559428952638-0.01021745512151602j)	(-0.03060212085110186-0.011990676133256243j)
2	HN	1	(0.02269565533322001-0.006338834593377216j)	(-0.06596836585304845-0.006422870618868899j)
3	KP	1	(0.033542058526848634+0.017256131792839614j)	(-0.022802003200096156+0.04236977878866163j)
4	LA	1	(0.04497866586358764-0.009526701770937725j)	(-0.03752532885450304-0.04790333352284602j)
5	MK	1	(0.004689389845489252-0.025245755002317138j)	(-0.032726567935415854+0.0012112566088165134j)
6	NL	1	(0.03785096617806737+0.0028980152627583323j)	(-0.033060614474528065-0.05645820842368969j)
7	OV	1	(0.04360800105408118-0.04149724690773221j)	(-0.02386444468984708+0.004572347119192265j)
8	PT	1	(0.034199234048010015-0.008205013996066964j)	(-0.0888250604933235-0.020066150234563252j)
9	SC	1	(0.01969410697236416+0.03134482525664865j)	(-0.01572452116368877+0.03681926638237992j)
