	antennas	IF	DRArr	DLArr
0	BR	1	(-0.00399828782878842+0.01657203899191401j)	(0.022503111266544615-0.005409220383313153j)
1	FD	1	(0.029705569673062284-0.01247531187650289j)	(-0.027057730187955393-0.01328635418676832j)
2	HN	1	(0.019485494809730886-0.012285129701214016j)	(-0.06181462815841904-0.004313305178702306j)
3	KP	1	(0.03581538584280284+0.012861795178999061j)	(-0.014471336363586353+0.04320016870372359j)
4	LA	1	(0.04220442502346994-0.014909582604044982j)	(-0.03326787488640233-0.05001388409462873j)
5	MK	1	(-0.005823226051743527-0.014866135466735923j)	(-0.026367177038663366+0.004583304716021524j)
6	NL	1	(0.05039864875575599-0.007575116309405795j)	(-0.03255757451289465-0.05760069088568143j)
7	OV	1	(0.02625779516934492-0.05293644448042955j)	(-0.012597717765595847+0.0030548378194808507j)
8	PT	1	(0.03492129964435044-0.007251031072487578j)	(-0.0949655683272571-0.01388790634790304j)
9	SC	1	(0.027726548588320826+0.030356866828938497j)	(-0.014168085417547235+0.0357807639407703j)
