	antennas	IF	DRArr	DLArr
0	BR	1	(-0.0015260085849780074+0.01859193532375762j)	(0.02411280793270384-0.004247096645628463j)
1	FD	1	(0.03132510712615035-0.01160277749515661j)	(-0.027441182715761372-0.012386449003876698j)
2	HN	1	(0.018603892530079696-0.010165593152662869j)	(-0.06406475157535008-0.0033845479067472675j)
3	KP	1	(0.03727233183619067+0.01359975103352054j)	(-0.01166389541719095+0.04273775661960667j)
4	LA	1	(0.043079302995210594-0.014303033859194583j)	(-0.03560851073303216-0.04945778583381708j)
5	MK	1	(-0.0069634771411052725-0.012155209855426752j)	(-0.023734287608930985+0.004735976602163947j)
6	NL	1	(0.052475668494074736-0.008038339233621903j)	(-0.03672927672229927-0.05654329762835576j)
7	OV	1	(0.025889407263780775-0.053412659501394164j)	(-0.011217642846212175+0.0029199230127269133j)
8	PT	1	(0.036699123532603024-0.00582078161787575j)	(-0.0962918240327717-0.008953810535219922j)
9	SC	1	(0.0279361938300383+0.02974185264600305j)	(-0.014672266410428148+0.03400241189848241j)
