	antennas	IF	DRArr	DLArr
0	BR	1	(-0.0031585305008949836+0.006807930214206891j)	(0.011120296763640422-0.003546675844110206j)
1	FD	1	(0.030682365058860364-0.009628991519387438j)	(-0.03143687179350362-0.011258738194575247j)
2	HN	1	(0.02494043953966065-0.007231659129693389j)	(-0.0634825454497725-0.0067655740764404875j)
3	KP	1	(0.03529234272941383+0.017468399046958075j)	(-0.020512068936952964+0.04352013580576709j)
4	LA	1	(0.045183053620449554-0.008969220895435824j)	(-0.03800790499224593-0.047851139762317044j)
5	MK	1	(0.0012664993109874287-0.02238797968737037j)	(-0.03289626577381703+0.004503821969782615j)
6	NL	1	(0.04418283453818904+0.0032145720508129053j)	(-0.03550579360912344-0.05619982741897926j)
7	OV	1	(0.041010465766545115-0.04373502113545785j)	(-0.021580886638658786+0.006233882411643595j)
8	PT	1	(0.03695100196269887-0.007235925290814583j)	(-0.09297980045206236-0.016914771212988323j)
9	SC	1	(0.021412465136426476+0.03169220326058285j)	(-0.015219767022277841+0.03313378355444561j)
