	antennas	IF	DRArr	DLArr
0	BR	1	(-0.003475017905492457+0.011896995074394722j)	(0.017784575925552833-0.003085992185870792j)
1	FD	1	(0.029518192896116707-0.0121173645793045j)	(-0.02795324297410146-0.013705397406368702j)
2	HN	1	(0.02121573530434665-0.009981244277930077j)	(-0.06255075063532832-0.004606266301437366j)
3	KP	1	(0.03607871493723255+0.013848251236839982j)	(-0.019010713460681918+0.04275370050001451j)
4	LA	1	(0.04328796154086579-0.013462548845684057j)	(-0.034149033020200316-0.050433263521079616j)
5	MK	1	(-0.005066201845883321-0.017608046032658253j)	(-0.028213956041714252+0.002579658960972731j)
6	NL	1	(0.04768938376757217-0.0031512175083696268j)	(-0.03183909267245437-0.0570416363896201j)
7	OV	1	(0.03208501801860483-0.052033836044726015j)	(-0.016324199002600077+0.004007202231192751j)
8	PT	1	(0.03485736401794631-0.008694439593830459j)	(-0.09402047478783035-0.018667808347661897j)
9	SC	1	(0.025464704120345797+0.02961064371494643j)	(-0.017213113784874074+0.034590303215692224j)
