	antennas	IF	DRArr	DLArr
0	BR	1	(0.006794036942706115-0.00602381223924274j)	(0.004977360666717658-0.005009655605054748j)
1	FD	1	(-0.0027750716454111026+0.016075098611811382j)	(0.014264113014298673+0.012608499469282648j)
2	HN	1	(-0.013510865609168502-0.0399225742967998j)	(0.01495155590608103-0.027511115845407264j)
3	KP	1	(0.015396843709959378-0.002462535732897408j)	(-0.01928127337051398+0.010574295252115822j)
4	LA	1	(0.03906645384189409-0.01285233512932943j)	(-0.03634422588208157-0.016501348973541812j)
5	MK	1	(0.029314532786070744-0.004936226089623579j)	(-0.03478585978661844+0.007983599894381792j)
6	NL	1	(0.007548227168974941+0.012563532455536009j)	(-0.012790547696791008+0.005848016854746054j)
7	OV	1	(-0.010975859761473318-0.0014667547149822295j)	(0.012239081796111507+0.001429631114951863j)
8	PT	1	(-0.006629722362580603-0.0034094783961319424j)	(0.009921451860274608+0.0006036636796331593j)
9	SC	1	(-0.0015834578485482015+0.0012408090022928357j)	(-0.005781001500518773+0.017032447136723708j)
10	BR	2	(0.013311641052840219-0.011186149951367118j)	(-0.003723435520181078-0.0012315853276884644j)
11	FD	2	(0.014170178533608727+0.02260927946393486j)	(0.009102323481599459+0.003253551535536544j)
12	HN	2	(-0.021670498670350605-0.03930402413239698j)	(0.01800287614433861-0.023845350052875473j)
13	KP	2	(0.021079336022537636-0.005524771071703726j)	(-0.021457369195981693+0.004180430059331665j)
14	LA	2	(0.04639809545030717-0.019387355908107737j)	(-0.049101590680915255-0.03158088277059007j)
15	MK	2	(0.036193957044952624+0.005050582028278042j)	(-0.03656826653433153+0.004430974644285139j)
16	NL	2	(0.02156587949229692+0.010994199705834908j)	(-0.014469557117021078-0.005678867877425203j)
17	OV	2	(-0.005346901239312388+0.002279375580531834j)	(0.008041257392165383-0.0029290490212631596j)
18	PT	2	(-0.008195985105793531+0.0009467276529398016j)	(-0.008136026314379036-0.01134060565658161j)
19	SC	2	(0.006012907266048464+0.003930973956928066j)	(-0.002504177881487602+0.016845593906371557j)
20	BR	3	(0.011113685937746634-0.015911665745948284j)	(-0.003460867073293406+0.004342074566998995j)
21	FD	3	(0.0266476484732216+0.006568668890980752j)	(0.005961078774815798+0.006264548358301981j)
22	HN	3	(-0.019099876748619425-0.028211574389232698j)	(0.023265049041016676-0.02518662771093048j)
23	KP	3	(0.022368013586507998-0.004747585806060638j)	(-0.026812951415372797+0.002472520741313971j)
24	LA	3	(0.05523496022509632-0.0209723209138838j)	(-0.06376132689402578-0.028876656569288537j)
25	MK	3	(0.04581503620635903+0.00404819547488909j)	(-0.04294166624899545+0.000494872751945433j)
26	NL	3	(0.022777714080917947+0.006031279730408745j)	(-0.019869115718814803-0.00829075706088774j)
27	OV	3	(0.005644464972447109+0.00518839634751632j)	(0.002317739718285003-1.2464046492317894e-06j)
28	PT	3	(-0.00200926444986341+0.004919609624809777j)	(0.0029014154323456745+0.010808530458816726j)
29	SC	3	(0.015413630706415013+0.002675067017355122j)	(0.0029405262380238738+0.015066250958976282j)
30	BR	4	(0.0053947473186601235-0.01136062993075159j)	(0.0010644783568033054+0.006124801723896038j)
31	FD	4	(0.01713690673961773-0.006021177331387444j)	(-0.00610065120814785+0.006886437978773727j)
32	HN	4	(-0.004398516996825641-0.023901179962332198j)	(0.023843459151382765-0.03150935184232561j)
33	KP	4	(0.024985811489573878-0.004871906924459451j)	(-0.03483775085987972+0.002981245206449925j)
34	LA	4	(0.05752692652101634-0.033022946574589686j)	(-0.07724248484898145-0.02559729347585866j)
35	MK	4	(0.048376997687475325-0.003135886505198602j)	(-0.04992127805720112+0.0014570955473837163j)
36	NL	4	(0.02359496407485351+0.005209717538734755j)	(-0.03025860744602692-0.006332661037781602j)
37	OV	4	(0.011865741250627341-0.0012293438356581643j)	(0.003249134934524432+0.0018694727732327958j)
38	PT	4	(0.008904332169066033+0.007481197907198187j)	(0.0010406943012917036-0.006871062130711946j)
39	SC	4	(0.01146626418886448+0.0006289772242696354j)	(-0.007726312601870883+0.011216988351344232j)
