	antennas	IF	DRArr	DLArr
0	BR	1	(0.006576141720220184-0.0053797041688048546j)	(0.004900317900749286-0.004331721991706246j)
1	FD	1	(-0.002757620383955037+0.016308224021133383j)	(0.014241624971431173+0.012859635986086368j)
2	HN	1	(-0.01328587007097971-0.03989184356851507j)	(0.014557586864545951-0.02754915936395283j)
3	KP	1	(0.015369675911988278-0.002207527402562217j)	(-0.01922610772515649+0.010830665235295932j)
4	LA	1	(0.03909500592698917-0.012571831535551931j)	(-0.03637241333015068-0.016238274716253564j)
5	MK	1	(0.029228526982692186-0.004748301053693334j)	(-0.03444381900744648+0.007984810279787105j)
6	NL	1	(0.007866818844756481+0.012715463847925039j)	(-0.013067833798789045+0.005951732690723181j)
7	OV	1	(-0.011044040216522909-0.00117969529343274j)	(0.012321707794710457+0.0017265148949438367j)
8	PT	1	(-0.006634744558389677-0.0031566256597958587j)	(0.009914684631301993+0.0008763710286300017j)
9	SC	1	(-0.0009233368789150703+0.002737763262932883j)	(-0.005489004818869278+0.017537492435797036j)
10	BR	2	(0.013139001219381819-0.010691677094493124j)	(-0.0038478778721244373-0.0007358275032703528j)
11	FD	2	(0.014191950986873871+0.022793677086906636j)	(0.009082297938597206+0.0034515203915912976j)
12	HN	2	(-0.021561678273530963-0.03911111506304929j)	(0.017729619957965043-0.02380288182521331j)
13	KP	2	(0.021053430021221953-0.00532907245142302j)	(-0.02141995712582265+0.004386690764345533j)
14	LA	2	(0.0464159249235235-0.019176944161263896j)	(-0.049130980032766544-0.0313749873030713j)
15	MK	2	(0.036109134462432725+0.005238550219360916j)	(-0.036202675898220814+0.004543304855957553j)
16	NL	2	(0.02168991450607679+0.0111969980720221j)	(-0.014666626061433596-0.005541692875114387j)
17	OV	2	(-0.005391055108273197+0.002506470860375904j)	(0.008098397236350705-0.0026922465601520174j)
18	PT	2	(-0.008189474060568497+0.0011405825748940742j)	(-0.008155228248780977-0.011122594386351796j)
19	SC	2	(0.00668781193928169+0.005007992464352838j)	(-0.0026098901936118125+0.017129025416509708j)
20	BR	3	(0.010966334234694198-0.015274948346537583j)	(-0.0035884224280325395+0.004987684374679681j)
21	FD	3	(0.026714896218798485+0.006760326845450957j)	(0.005879586195137466+0.0064588760538319984j)
22	HN	3	(-0.01895446581604269-0.028100858428789215j)	(0.022935627393761416-0.02526087772732289j)
23	KP	3	(0.022398040412381907-0.004527994709593913j)	(-0.026803662570276932+0.002686135773954443j)
24	LA	3	(0.055290293219028716-0.02075936432588794j)	(-0.06382829718138595-0.02866612784539963j)
25	MK	3	(0.04567451236450937+0.0041798192190930445j)	(-0.042478455632989465+0.0006434550045169354j)
26	NL	3	(0.023028634887184058+0.006206404326382498j)	(-0.020174139864565933-0.008252816528748227j)
27	OV	3	(0.0056117338813748445+0.0054633781562056505j)	(0.0023468836478264124+0.00028752353762171866j)
28	PT	3	(-0.0019431674370515432+0.005125435499208339j)	(0.002832946759877914+0.011035029786527805j)
29	SC	3	(0.016141368671672898+0.0035750920519372867j)	(0.002099656548838773+0.01524719916901633j)
30	BR	4	(0.00530518422175966-0.010634426842961677j)	(0.000892697527902429+0.006839792499351153j)
31	FD	4	(0.01718344746749555-0.0057495855489317835j)	(-0.006144980820819719+0.0071817461313872615j)
32	HN	4	(-0.004250099997795033-0.023866055607692085j)	(0.023449822719751046-0.031447457700600936j)
33	KP	4	(0.024977975256887882-0.004576744917627749j)	(-0.03482259607039767+0.003279219543395519j)
34	LA	4	(0.05756637066757643-0.0327170469266547j)	(-0.07729950300102625-0.02529651886491868j)
35	MK	4	(0.04809755934843805-0.0028810040663074465j)	(-0.04949685376865125+0.0015965478243811428j)
36	NL	4	(0.02385229027194121+0.005410784394604904j)	(-0.030564020387117384-0.006158776788125068j)
37	OV	4	(0.011846799659050788-0.0008795233493320712j)	(0.0033035448967741786+0.002214631482313286j)
38	PT	4	(0.008945570160108334+0.007785814394639074j)	(0.001003063077191447-0.006562939431900101j)
39	SC	4	(0.01222484763222454+0.001974236451622093j)	(-0.007972762282193473+0.011854049755659537j)
