	antennas	IF	DRArr	DLArr
0	BR	1	(0.004129242843618888-0.0028059203357194296j)	(0.0038475484994496337-0.0037593244643325135j)
1	FD	1	(0.0013059607767568183+0.01619571050309036j)	(0.014188670088965313+0.010509373951809026j)
2	HN	1	(-0.014640122310082599-0.040401101408530427j)	(0.013833465668058086-0.027910024332963006j)
3	KP	1	(0.01534887109975071-0.001776020467756665j)	(-0.019297614569562197+0.01111829332876635j)
4	LA	1	(0.040560736059447135-0.014070382563855502j)	(-0.03337277348381001-0.01691984219406379j)
5	MK	1	(0.028318339132122707-0.003307505036697523j)	(-0.030301777428612592+0.006071332475585616j)
6	NL	1	(0.008447102669920681+0.012629640887643324j)	(-0.010072444210254007+0.004344227245307153j)
7	OV	1	(-0.009708462142766182-0.0011007918848377825j)	(0.009925751102437555+0.0015331747485696722j)
8	PT	1	(-0.007067982063148228-0.006062673056128159j)	(0.013629938286476191-0.00253215359889868j)
9	SC	1	(-0.0008302968208412125+0.007938387284231466j)	(-0.008243356658240988+0.017405661665097775j)
10	BR	2	(0.011571900354550312-0.008382630450009903j)	(-0.0059551213657920024-0.0005013287864690524j)
11	FD	2	(0.015999547018029994+0.0178825534594506j)	(0.004341655217340487+0.002780719681618385j)
12	HN	2	(-0.023580244938739184-0.03911055985062879j)	(0.0168121755804875-0.023946642832853j)
13	KP	2	(0.021003802507551055-0.004815011942670695j)	(-0.021622820171710425+0.00431477335544715j)
14	LA	2	(0.04643387032073487-0.02122498667249578j)	(-0.04574892870261541-0.03187799388101237j)
15	MK	2	(0.03287638245440174+0.007739467402115774j)	(-0.03289105787157599+0.003658920512083628j)
16	NL	2	(0.02073086724096835+0.010001581898581238j)	(-0.012642972654988963-0.005858099991875744j)
17	OV	2	(-0.0060890290551007835+0.0021237603680572224j)	(0.004849301743896621-0.0030596698014223123j)
18	PT	2	(-0.009060081376684376-0.0011808357838611774j)	(-0.005360436084223439-0.01303936613303751j)
19	SC	2	(0.006708870407157219+0.009287021261829781j)	(-0.006495309156215246+0.016725761996367803j)
20	BR	3	(0.007877640893209964-0.01335797266500642j)	(-0.004892781649218069+0.005681229957951964j)
21	FD	3	(0.024819301796732633+0.0036145676311167534j)	(-0.0007434510298658995+0.010819009087239465j)
22	HN	3	(-0.022200891583128445-0.027538395444104583j)	(0.01958583932677135-0.0242637571275273j)
23	KP	3	(0.0210552567976309-0.002077519892221459j)	(-0.02798801601680232+0.0038021077960189737j)
24	LA	3	(0.05446123273189595-0.021236179225846547j)	(-0.06085848409851822-0.029277502920414488j)
25	MK	3	(0.04088781872297604+0.006734183631389354j)	(-0.03752729341496533+1.7480538033903253e-05j)
26	NL	3	(0.022090718214515002+0.0064972280603461715j)	(-0.02121000824956499-0.008901072311012366j)
27	OV	3	(0.0027275204645593578+0.006287998612955543j)	(-0.00048584018935407357+0.0007681985456516239j)
28	PT	3	(-0.003958091535356942+0.004658776674286936j)	(0.004182061459614469+0.011658483440490787j)
29	SC	3	(0.010100411572805295+0.007635551769796267j)	(-0.008693483026030709+0.013585491484035322j)
30	BR	4	(0.004409125096563728-0.01093258323140389j)	(0.0001477765763369762+0.005671752530775615j)
31	FD	4	(0.017565484869799766-0.013572554267149041j)	(-0.008241189035928303+0.009552445711188245j)
32	HN	4	(-0.008228136196664444-0.027287028023419393j)	(0.02285025579327206-0.03297638439196004j)
33	KP	4	(0.026708369162386687-0.005364877073964505j)	(-0.03625810817513322+0.002931983934361398j)
34	LA	4	(0.059200172901967725-0.03579659975094242j)	(-0.07608528438809634-0.026248334599941255j)
35	MK	4	(0.042703669165549386+0.0007801930137949497j)	(-0.04596813839484438+0.0025360035411751297j)
36	NL	4	(0.023489765359350167+0.003157934706430775j)	(-0.029066607789935788-0.007892104803692696j)
37	OV	4	(0.01260967342022846-0.0014432921130872467j)	(-0.0006023048247244891+0.0011389795979855255j)
38	PT	4	(0.00908039464234023+0.0028695002537458625j)	(0.0027597967550837747-0.00884461579235453j)
39	SC	4	(0.011266489474665197+0.004879492394795116j)	(0.007817846448829009+0.004072456679249926j)
