	antennas	IF	DRArr	DLArr
0	BR	1	(0.006680542635885765-0.005663572320962832j)	(0.0049509716192056505-0.00462018655192071j)
1	FD	1	(-0.002763887965241645+0.016213319404830832j)	(0.014251652134991747+0.012754141543136215j)
2	HN	1	(-0.013377403457526457-0.03990776538404843j)	(0.014724908248176018-0.02752786721938115j)
3	KP	1	(0.015380572150047053-0.002314082387295657j)	(-0.0192493722852306+0.010724439306373018j)
4	LA	1	(0.039079984260524746-0.012691807103172009j)	(-0.03635998565203694-0.0163466231416576j)
5	MK	1	(0.029262820908803385-0.004828184787524116j)	(-0.03459586107838738+0.007971999848319587j)
6	NL	1	(0.007733814573189041+0.012647225201497359j)	(-0.01295139796901557+0.0059169017990460026j)
7	OV	1	(-0.011012473827938175-0.001301052010095808j)	(0.01228806647038325+0.001600381200885272j)
8	PT	1	(-0.006630365942894251-0.0032576277381195736j)	(0.009919437699296584+0.0007647236154819225j)
9	SC	1	(-0.0011941712350560017+0.002118644668395161j)	(-0.005621066511330317+0.017356397639411963j)
10	BR	2	(0.0132293448934458-0.010913358494365626j)	(-0.003779050972797425-0.0009528827510202858j)
11	FD	2	(0.01418462610153825+0.022720220576605832j)	(0.009087825746093625+0.0033713836132254053j)
12	HN	2	(-0.021601234478955473-0.03919740154618934j)	(0.017850952017431324-0.02380486525939647j)
13	KP	2	(0.021066144109076645-0.005407676496999082j)	(-0.02143615178466065+0.004300961670301822j)
14	LA	2	(0.04641040622582074-0.01926412876312971j)	(-0.049119589079261346-0.0314579395187802j)
15	MK	2	(0.03614026932639666+0.005159335335246034j)	(-0.03637838974166584+0.00449333115349313j)
16	NL	2	(0.02163619733504896+0.011109914532236703j)	(-0.014577890949452391-0.00559287590654032j)
17	OV	2	(-0.005367593942225412+0.002406152209942868j)	(0.008073663660814075-0.0027915904640900676j)
18	PT	2	(-0.008190681629151129+0.0010624662650045155j)	(-0.008150897050400412-0.01121281938871963j)
19	SC	2	(0.006382321823010064+0.004564695470483848j)	(-0.0025724360976753916+0.017026451742419863j)
20	BR	3	(0.011066571217423687-0.01556493502301094j)	(-0.0035266590654175127+0.004709832663239728j)
21	FD	3	(0.026690596464919773+0.006685874435327934j)	(0.005914721213321632+0.0063836507088325745j)
22	HN	3	(-0.019004203081586773-0.02815490011620101j)	(0.02308696373691718-0.025216007210388334j)
23	KP	3	(0.02238698521196385-0.004612461706747525j)	(-0.026813001069939214+0.002603314226344113j)
24	LA	3	(0.055270677942546635-0.02084561603231591j)	(-0.06380523466237298-0.02874993181727538j)
25	MK	3	(0.045723760719349665+0.004151105297034047j)	(-0.04270544446645402+0.0006006541574539509j)
26	NL	3	(0.02292736549187234+0.0061248424958813726j)	(-0.020046956128599257-0.00826040248832577j)
27	OV	3	(0.005634116874697412+0.005351874595600916j)	(0.002331350856820913+0.00017320867004773385j)
28	PT	3	(-0.001967033255298462+0.0050466004222831816j)	(0.0028585136245042604+0.010946188372362135j)
29	SC	3	(0.015831768424802023+0.003200595580897988j)	(0.0024564158045597873+0.015207578379332719j)
30	BR	4	(0.005354466978807464-0.010959724198731351j)	(0.0009750654112915321+0.0065220495610647826j)
31	FD	4	(0.01716410466334621-0.005862835136883176j)	(-0.006125009055162037+0.007056700320434016j)
32	HN	4	(-0.004317568861178451-0.02387123388497016j)	(0.023629958044784415-0.0314574103101961j)
33	KP	4	(0.02498124804165008-0.004699720356891529j)	(-0.034832656793422664+0.0031557358811472023j)
34	LA	4	(0.0575485195309145-0.032847030373767606j)	(-0.07727547735118968-0.025423346480358884j)
35	MK	4	(0.0482112946817176-0.0029816692393300802j)	(-0.049690070248619815+0.0015365140374415133j)
36	NL	4	(0.02373704431315005+0.00531363658447925j)	(-0.030422447763738914-0.00622306836349119j)
37	OV	4	(0.011860032431378833-0.0010300126792167556j)	(0.003275722382315912+0.0020654246539786006j)
38	PT	4	(0.008928604250366977+0.007656774738916785j)	(0.001019968415781562-0.006693307602713625j)
39	SC	4	(0.01189163759001242+0.0014062886126658509j)	(-0.007872349168146692+0.011611134039317208j)
