	antennas	IF	DRArr	DLArr
0	BR	1	(0.005372801507144776-0.002944503634313428j)	(0.0038421882749869085-0.002095141027807989j)
1	FD	1	(-0.002973256040032761+0.01677689180839706j)	(0.014231565376262882+0.013338138471656172j)
2	HN	1	(-0.012947730332112087-0.040009485161968j)	(0.013028945907526028-0.027875784345691997j)
3	KP	1	(0.015180649236647397-0.0016682170147480774j)	(-0.018927191645925958+0.011523959450750942j)
4	LA	1	(0.03913713619048372-0.011729732973941837j)	(-0.036241077418155104-0.015689415595185895j)
5	MK	1	(0.02855799351764304-0.0039527353235052805j)	(-0.03295506472647235+0.008202899433965554j)
6	NL	1	(0.008719996072459844+0.013861440588043715j)	(-0.013960142878439915+0.00580783761800832j)
7	OV	1	(-0.011474624092899517-0.0004532933267178543j)	(0.012544754795220638+0.0025648451274357035j)
8	PT	1	(-0.006964700146632812-0.002767627393410135j)	(0.010108389628476027+0.0012735340276705115j)
9	SC	1	(0.0009744748248698105+0.007154668847698114j)	(-0.004746200064589053+0.0181612807372183j)
10	BR	2	(0.011921519007814602-0.008645132521678475j)	(-0.004757289745843911+0.0010699227302102426j)
11	FD	2	(0.014009349081822432+0.02302396380313196j)	(0.009089623028726682+0.003614542271471654j)
12	HN	2	(-0.021692904733584772-0.03823021211621623j)	(0.01654940529697672-0.02412378528649834j)
13	KP	2	(0.02076554957986566-0.005061608026450798j)	(-0.02115008363166839+0.004843622500130468j)
14	LA	2	(0.04639034807778318-0.01863195066532809j)	(-0.048928636838051084-0.031001099632257386j)
15	MK	2	(0.0357776233085839+0.005605167674064866j)	(-0.03437798635831446+0.005248555778073101j)
16	NL	2	(0.021919315436342478+0.012132981889657498j)	(-0.01526109715930727-0.00557769864530125j)
17	OV	2	(-0.006006644573404859+0.0031509137516674028j)	(0.008329659337105624-0.0020855392994973353j)
18	PT	2	(-0.008588066165214004+0.0013046347423833725j)	(-0.007937283497278805-0.010939103827865337j)
19	SC	2	(0.009038934883707519+0.008373598156595332j)	(-0.0032371901618236825+0.01749679653187336j)
20	BR	3	(0.009091939906306632-0.012613160649233802j)	(-0.004306161086689317+0.007264196556306117j)
21	FD	3	(0.026533385826348156+0.006768902409238977j)	(0.0053364774284167275+0.00642961334445358j)
22	HN	3	(-0.019095258426004052-0.027236107166002492j)	(0.021526471122548834-0.025699858894522233j)
23	KP	3	(0.022285775887269425-0.0043896821233783394j)	(-0.026655528135795473+0.002829327053344862j)
24	LA	3	(0.05526027418136844-0.020458597267411935j)	(-0.06368586862401594-0.02859013500666992j)
25	MK	3	(0.04494516669481424+0.0036309077310540936j)	(-0.0403919407595953+0.00024052400702243753j)
26	NL	3	(0.023562322932112707+0.007284787587945381j)	(-0.021054499514318512-0.008780562423048081j)
27	OV	3	(0.0047605622561915795+0.005932055277502929j)	(0.0025897972478153507+0.0008201077781964939j)
28	PT	3	(-0.0021522306614554392+0.005085112507314671j)	(0.0029204168035697644+0.011109721013149615j)
29	SC	3	(0.01811460716345073+0.006250832878778979j)	(-0.0012475830765954518+0.015249904039784145j)
30	BR	4	(0.004491315043813866-0.007731531221126267j)	(3.649136688497419e-05+0.009570386361390184j)
31	FD	4	(0.017070359498091135-0.0051655420246782225j)	(-0.006507614263826488+0.007907187159625946j)
32	HN	4	(-0.003888932056258984-0.023804132108370263j)	(0.021604720087724603-0.031772293810613236j)
33	KP	4	(0.02480518311660808-0.003810844760172074j)	(-0.0346427095238175+0.004084338824279874j)
34	LA	4	(0.05765418792192096-0.03178424123844745j)	(-0.07729555706342939-0.024579705782413606j)
35	MK	4	(0.04703494360788522-0.002405404903105913j)	(-0.04785815928077622+0.001801550483384625j)
36	NL	4	(0.024569336113370432+0.006618260608016059j)	(-0.03186851484183363-0.005999501982265274j)
37	OV	4	(0.011287186684464589+0.00015329748335797872j)	(0.00352193524113207+0.003369350888791103j)
38	PT	4	(0.008760375564255832+0.008423390988886531j)	(0.001030601819660671-0.005874278901057856j)
39	SC	4	(0.014754640772485514+0.005900998815883428j)	(-0.008881511238833439+0.013217111323609023j)
