	antennas	IF	DRArr	DLArr
0	BR	1	(0.006048495657756758-0.0042011611777802585j)	(0.004477994843854592-0.0031874702736213486j)
1	FD	1	(-0.002787623727942704+0.01661689845287316j)	(0.014224574243717779+0.013191675827073843j)
2	HN	1	(-0.013018618558924756-0.03989147423350327j)	(0.013830417314943971-0.027697771883152974j)
3	KP	1	(0.015301115423340294-0.0018643053709363382j)	(-0.019101684716105946+0.011212773364195433j)
4	LA	1	(0.03912255398732471-0.0121123489467074j)	(-0.03636951297382401-0.015888658800616327j)
5	MK	1	(0.029001925342797764-0.004409456541360162j)	(-0.03373834505996613+0.008051677321516957j)
6	NL	1	(0.008348572055952913+0.013174485602545357j)	(-0.013527326802961632+0.005957465579354768j)
7	OV	1	(-0.01120524974358702-0.0007544077714029637j)	(0.012462754132312+0.00219622434486983j)
8	PT	1	(-0.00670820094966135-0.0028441166307414593j)	(0.009953705117474813+0.0012159881886510983j)
9	SC	1	(0.0001121814264026611+0.005045143943430407j)	(-0.005004312155204527+0.017951052641139716j)
10	BR	2	(0.012629958883547811-0.009699009736910102j)	(-0.00424278202042747+0.00016443973727536405j)
11	FD	2	(0.014169395539426748+0.023012563616152518j)	(0.009077704260206876+0.0036718206609548977j)
12	HN	2	(-0.021522668480483547-0.03870389863209979j)	(0.017150974237111635-0.023878570624937045j)
13	KP	2	(0.020949382594187386-0.005088983952285364j)	(-0.021304615676989123+0.0046741276197442j)
14	LA	2	(0.04642984037411816-0.018837392791585698j)	(-0.04910589737101814-0.031092002371074796j)
15	MK	2	(0.03597943546432918+0.005433351665490685j)	(-0.03530713131935256+0.004862877645869645j)
16	NL	2	(0.02184390104542485+0.011618880644747781j)	(-0.014985793011698712-0.005446484809930031j)
17	OV	2	(-0.005594657640212436+0.002878487621327801j)	(0.00822551488327365-0.0023242077310139707j)
18	PT	2	(-0.008283418164930906+0.0013546839699216096j)	(-0.008120525712350963-0.010870586478726548j)
19	SC	2	(0.007912762792408184+0.006731322707173941j)	(-0.0028689080486866596+0.01737856719173296j)
20	BR	3	(0.010234767054239119-0.013960266170026995j)	(-0.00390959079657262+0.006138879065827195j)
21	FD	3	(0.026733100844135757+0.006918816277749711j)	(0.005690394910842855+0.006605948163166953j)
22	HN	3	(-0.018889569710837478-0.02775534328666547j)	(0.022266135815298054-0.025463933634303253j)
23	KP	3	(0.022397764171935466-0.004324265058528485j)	(-0.026741264348760452+0.0028962429558779023j)
24	LA	3	(0.055335490241006924-0.020491644652505487j)	(-0.0638504261518331-0.028466558214772494j)
25	MK	3	(0.04540938616013744+0.004032836190833792j)	(-0.041447968432914976+0.000636878617960819j)
26	NL	3	(0.023348070896053886+0.0066934070529226335j)	(-0.020648560828256855-0.008402242524842304j)
27	OV	3	(0.005352812819836698+0.005801745046662253j)	(0.002462504122881072+0.00066528586098756j)
28	PT	3	(-0.0019302689923948312+0.005284774031744504j)	(0.002799126573735411+0.011253320432960125j)
29	SC	3	(0.017213642297767142+0.004961661860740045j)	(0.0004900224470768341+0.015301445065113382j)
30	BR	4	(0.004968613622966482-0.009213865287942205j)	(0.0005193310447516716+0.008186101788754526j)
31	FD	4	(0.017218679454536628-0.005387725841149573j)	(-0.006251396791383413+0.007606995763332916j)
32	HN	4	(-0.003987053459371833-0.023848336087026405j)	(0.02261228948931408-0.03150087175576153j)
33	KP	4	(0.024919162640070755-0.004132866142089052j)	(-0.03474860303189599+0.0037120358009593984j)
34	LA	4	(0.05762028579490684-0.032212847357702586j)	(-0.07735321490642946-0.02486339824888377j)
35	MK	4	(0.04764431581096562-0.002595225145061863j)	(-0.04869285891818113+0.001756177562539471j)
36	NL	4	(0.02425653804339688+0.005896656939321248j)	(-0.03121995245416829-0.006013269401980121j)
37	OV	4	(0.01168079356044083-0.00030935562322832234j)	(0.0034433609523804067+0.0028151542341807137j)
38	PT	4	(0.008937817548853352+0.008199140243365514j)	(0.0009762033889515997-0.006123953866116081j)
39	SC	4	(0.013551253009585765+0.004071245400245702j)	(-0.008362596773287673+0.012618389777343447j)
