	antennas	IF	DRArr	DLArr
0	BR	1	(0.00680500203773703-0.0060760384871055865j)	(0.004979356808354748-0.005064396327829684j)
1	FD	1	(-0.002775137490393848+0.01605341510974751j)	(0.014266552547625716+0.012581499132033928j)
2	HN	1	(-0.013529959185923849-0.03993067112870641j)	(0.01497993261973149-0.027514026017427317j)
3	KP	1	(0.015399036453579805-0.002487809224034634j)	(-0.019284641545874587+0.010549288407227539j)
4	LA	1	(0.03906508191412834-0.012877492723279644j)	(-0.036342681021118976-0.016529338110843894j)
5	MK	1	(0.029334326505355727-0.004945717713932403j)	(-0.034810231158077645+0.007985884440812302j)
6	NL	1	(0.007526641640123612+0.012553916994371613j)	(-0.012767839617018068+0.0058320470870640954j)
7	OV	1	(-0.010969777517528392-0.0014941667654908175j)	(0.01223573942828497+0.001400144884054093j)
8	PT	1	(-0.006629151500808172-0.0034351873365640055j)	(0.009922831750027263+0.0005780863257863176j)
9	SC	1	(-0.0016430298426941786+0.0011114506663274801j)	(-0.0058097595227294945+0.01697636542705439j)
10	BR	2	(0.01332054181284406-0.011213586697947493j)	(-0.003718496066544252-0.0012737080464780431j)
11	FD	2	(0.014168521844418325+0.022591318671496892j)	(0.009099980845323265+0.0032355887749439057j)
12	HN	2	(-0.021677685794956932-0.03932046061902702j)	(0.018022961976841622-0.023854352527799244j)
13	KP	2	(0.02108070390524391-0.005540730984193831j)	(-0.021460457590898808+0.004162252003313691j)
14	LA	2	(0.04639871083208508-0.019407498129103824j)	(-0.04909927488048061-0.03159853105296495j)
15	MK	2	(0.03621055784789957+0.005039144935972968j)	(-0.03659385913502841+0.004419687453607867j)
16	NL	2	(0.021559421151031138+0.01097727956813099j)	(-0.014453027529121367-0.005692765387700421j)
17	OV	2	(-0.00534316414748693+0.0022568048340926576j)	(0.008036107722598872-0.002946794036061017j)
18	PT	2	(-0.008195635341202337+0.0009296157185498899j)	(-0.008137888399637049-0.011358441404221736j)
19	SC	2	(0.005956408364405153+0.003849772466639676j)	(-0.0024896036524957327+0.01680188208288857j)
20	BR	3	(0.011104088707139116-0.0159575411352152j)	(-0.003452025793417833+0.004296440606424801j)
21	FD	3	(0.026638442736937606+0.0065519545193699355j)	(0.005971873225908197+0.006245858187758728j)
22	HN	3	(-0.019116913589403497-0.028217797133340203j)	(0.023286791943587584-0.02517967801877279j)
23	KP	3	(0.02236286753360492-0.0047664713826555665j)	(-0.026809149435557126+0.002452468592977274j)
24	LA	3	(0.055226427492237475-0.020988801799437684j)	(-0.06374962458287597-0.02889363662880326j)
25	MK	3	(0.04581678335971121+0.004028928494330067j)	(-0.0429665106971922+0.0004718338410125968j)
26	NL	3	(0.022758336724711236+0.006022901638514019j)	(-0.01984041281099435-0.008301316394161082j)
27	OV	3	(0.005643176885468092+0.005169637287437891j)	(0.0023233108979577653-2.2563612971793922e-05j)
28	PT	3	(-0.0020220146296355533+0.004900950799268927j)	(0.002908916001829348+0.010791134064749014j)
29	SC	3	(0.015349853424133716+0.002590942693855479j)	(0.003006531671367823+0.015043444843265957j)
30	BR	4	(0.0054010091227810865-0.01141189669326404j)	(0.001077283336771514+0.0060752985078024735j)
31	FD	4	(0.017137106105747844-0.0060413588681192615j)	(-0.006100539389678484+0.006860474764858602j)
32	HN	4	(-0.004412359306558543-0.023911053027510485j)	(0.02386751414941872-0.03151729186123563j)
33	KP	4	(0.02498827782676062-0.004896238924771298j)	(-0.03484361608263839+0.002957472478792684j)
34	LA	4	(0.05752733142286131-0.03304610905572824j)	(-0.07724056931764924-0.025618564228877334j)
35	MK	4	(0.04840498819981701-0.003155754700551618j)	(-0.04995056089409773+0.0014445273768665533j)
36	NL	4	(0.0235783230446864+0.005195429349310341j)	(-0.030241724376476157-0.006351717747671961j)
37	OV	4	(0.011864253799159875-0.0012563091797817103j)	(0.003244499449522069+0.0018437221939070424j)
38	PT	4	(0.008904456010083104+0.007458248295489393j)	(0.0010410133548891616-0.006892991824669315j)
39	SC	4	(0.01141974892091571+0.0005133101159809596j)	(-0.007704389303415488+0.01113955523776177j)
