	antennas	IF	DRArr	DLArr
0	BR	1	(0.004149053624441835-0.0007363063948149493j)	(0.002611542876590556-0.0004474017371690401j)
1	FD	1	(-0.003880877341540408+0.016822005808900548j)	(0.014119850051813942+0.013157037316852962j)
2	HN	1	(-0.013296829812829834-0.04040925603501633j)	(0.011437722667135513-0.028245413445060423j)
3	KP	1	(0.014818339333394874-0.0013988043871401104j)	(-0.018610061568822354+0.011899645915224669j)
4	LA	1	(0.038980415356562256-0.011638929293513223j)	(-0.03563017934453901-0.015673702211600728j)
5	MK	1	(0.02742014017768709-0.002989453548012411j)	(-0.03145431923429139+0.008828469794609954j)
6	NL	1	(0.009048005772250641+0.015440908760207463j)	(-0.014628954143022121+0.005218571196510553j)
7	OV	1	(-0.012077308908778311-0.00033829201789984336j)	(0.012286680891160327+0.002879862376962118j)
8	PT	1	(-0.008152142154145984-0.003520025987910246j)	(0.010753633799689893+0.00038883718546529243j)
9	SC	1	(0.0022106874679967367+0.010474027625005945j)	(-0.004796649296416953+0.018386838388932597j)
10	BR	2	(0.010487996264409938-0.006830257936711833j)	(-0.005709485613073956+0.0025135789361349797j)
11	FD	2	(0.013352416638728562+0.022723689942185862j)	(0.008846232433513892+0.0027915201283012455j)
12	HN	2	(-0.022541884001305343-0.037298354057428956j)	(0.01545045373243242-0.024746249920060012j)
13	KP	2	(0.02021702876167403-0.005306464294992407j)	(-0.02101685782461734+0.004956434763521512j)
14	LA	2	(0.045997217699600954-0.019059637595418583j)	(-0.048158918063526304-0.03139548251498824j)
15	MK	2	(0.03504923406215235+0.005876556270199049j)	(-0.03296252565318622+0.0057830963462515645j)
16	NL	2	(0.022003831745113975+0.013201307140829743j)	(-0.015763233945660034-0.00630884839726331j)
17	OV	2	(-0.007162055064747279+0.0032483448814744076j)	(0.008143978311293118-0.0020794001711230995j)
18	PT	2	(-0.009854000209617637+0.0003999484290646239j)	(-0.007112728076582248-0.01222766110784707j)
19	SC	2	(0.010598800098267927+0.011016944275654635j)	(-0.0043029694655358905+0.017733459277242868j)
20	BR	3	(0.006856523600237798-0.010368692670594266j)	(-0.0048772091209188205+0.009058970017607623j)
21	FD	3	(0.02563872376990382+0.005832819827582291j)	(0.0035294200853206582+0.005487356536814187j)
22	HN	3	(-0.019967261871136305-0.025813118353058644j)	(0.02020218817929082-0.026137757461549466j)
23	KP	3	(0.021865216042182386-0.004900899736170827j)	(-0.026886876670837178+0.0021628101277520514j)
24	LA	3	(0.05474274605900903-0.021306494739378446j)	(-0.06289315328783945-0.029767327912991734j)
25	MK	3	(0.0436848733807199+0.00261881329318943j)	(-0.03851497659622428-0.0013451016270528446j)
26	NL	3	(0.023915798665781984+0.008348268539341713j)	(-0.02188084978950451-0.00991489617788595j)
27	OV	3	(0.0030578824772574237+0.005735970752879798j)	(0.002369059823642516+0.0006013521209934855j)
28	PT	3	(-0.003266656092492552+0.003930885785055658j)	(0.0034261792570613476+0.009575409363770012j)
29	SC	3	(0.01933517785123803+0.008540212213118403j)	(-0.004336912644649628+0.015389677520566997j)
30	BR	4	(0.003535695101643233-0.005138105090934371j)	(-0.0009311671585857166+0.011956865432238614j)
31	FD	4	(0.01590347707133921-0.005118407837250775j)	(-0.007889464090671561+0.00834438754101181j)
32	HN	4	(-0.004238293662705925-0.02368674036400937j)	(0.019527592644199437-0.03248074591668009j)
33	KP	4	(0.02451373758494563-0.0033698796501816226j)	(-0.03454711416707451+0.004670339424577436j)
34	LA	4	(0.05748302166084408-0.0315759431798748j)	(-0.0767143314233608-0.024439296086171156j)
35	MK	4	(0.04581688260436133-0.0020346934952399057j)	(-0.04650522920809798+0.001559762226357858j)
36	NL	4	(0.02497316501290905+0.00838467544032865j)	(-0.03269114747472363-0.006249138388966272j)
37	OV	4	(0.01007694106047175+0.0006860360498717806j)	(0.0032080524634819584+0.0040101687065922055j)
38	PT	4	(0.007724456944892098+0.008236317253630346j)	(0.0014758167864990246-0.006288756446076571j)
39	SC	4	(0.016428243711956877+0.00875024131597207j)	(-0.010127933647216161+0.013988502329399919j)
