	antennas	IF	DRArr	DLArr
0	BR	1	(0.006403018383528301-0.004935702528705051j)	(0.0047669629132256934-0.0038873543211334904j)
1	FD	1	(-0.002750762702726087+0.01644317009076539j)	(0.014224026337590753+0.01300340464311656j)
2	HN	1	(-0.0131603539613695-0.03988263388711935j)	(0.014283630804121329-0.02760624702204323j)
3	KP	1	(0.015355313273291428-0.0020606375797059093j)	(-0.019187500391960925+0.010987865272134332j)
4	LA	1	(0.0391111102318276-0.012388790731018172j)	(-0.03638780007888516-0.016086780490689526j)
5	MK	1	(0.029160240978485734-0.0046212906316998046j)	(-0.0341902754095386+0.008001404979392885j)
6	NL	1	(0.008070931395382697+0.012866037328552921j)	(-0.013249354887349412+0.005971608321212584j)
7	OV	1	(-0.011092125429969098-0.0010017595172598353j)	(0.012372792966686811+0.0019186755951905432j)
8	PT	1	(-0.006644132117879234-0.0030154328063833054j)	(0.009914495270641959+0.0010303441797320575j)
9	SC	1	(-0.00051371437200657+0.0036648728982971806j)	(-0.0052803243419364135+0.01774734724471278j)
10	BR	2	(0.01296903622154554-0.0103235014866002j)	(-0.003979450608738728-0.0003887926308514181j)
11	FD	2	(0.014193924056446202+0.022900558116119858j)	(0.009076933073286041+0.0035649983211776615j)
12	HN	2	(-0.021526433638997918-0.0389612436821748j)	(0.01751646732043432-0.02380631007688459j)
13	KP	2	(0.021020682331065795-0.005213880379837223j)	(-0.021383002925620512+0.0045099643675511145j)
14	LA	2	(0.04642713696948357-0.019036659415878j)	(-0.04913366898415226-0.031248349990826717j)
15	MK	2	(0.03606139521863873+0.005322858485547228j)	(-0.03587464740017696+0.004654904923943811j)
16	NL	2	(0.02175619952543557+0.011350388369035739j)	(-0.014795517348693655-0.005478054802449158j)
17	OV	2	(-0.005443134220083556+0.0026574654283453973j)	(0.00814856568980264-0.0025381569222575283j)
18	PT	2	(-0.008204896276605056+0.0012488240363319248j)	(-0.008154507291744944-0.010997687020072722j)
19	SC	2	(0.007171878258669148+0.005683275451736027j)	(-0.0026827927025442296+0.017254404764875397j)
20	BR	3	(0.010748945771284324-0.014783521570420937j)	(-0.0037002488123494878+0.00543039292512599j)
21	FD	3	(0.026743666794356708+0.0068512847710029395j)	(0.0058145729341769654+0.006548412139326753j)
22	HN	3	(-0.018901533640644053-0.02798382019757405j)	(0.02268840829448679-0.025337766319016648j)
23	KP	3	(0.022408382324462548-0.004420803274312375j)	(-0.02678934678683385+0.0027953399839256805j)
24	LA	3	(0.0553215840339851-0.02063959108672739j)	(-0.06385760125769097-0.02855858183666219j)
25	MK	3	(0.04558677450837137+0.004166517752877833j)	(-0.042092334364037344+0.0006828567372037373j)
26	NL	3	(0.023172860728190976+0.006368118128047088j)	(-0.020368153421413217-0.008287208073106038j)
27	OV	3	(0.005547551602505765+0.0056108079621849756j)	(0.002383463885594951+0.000458556127883162j)
28	PT	3	(-0.001916929654290988+0.005221035488431596j)	(0.0028035286131766817+0.011149186371144352j)
29	SC	3	(0.016573216674213357+0.004125249902093056j)	(0.0014888598926090925+0.015299453303846956j)
30	BR	4	(0.0052001922825999775-0.010102679916864345j)	(0.0007573365041992371+0.007353657452953186j)
31	FD	4	(0.017212633573274353-0.005593524464992947j)	(-0.006184311013568591+0.0073605630109672155j)
32	HN	4	(-0.004143519180809875-0.02385854145463549j)	(0.023148213777976913-0.031444695220494846j)
33	KP	4	(0.024964841696817484-0.004390475361185374j)	(-0.034803425569135134+0.003459421919837077j)
34	LA	4	(0.0575928879715331-0.0325165506837935j)	(-0.0773299786713222-0.025115421395663022j)
35	MK	4	(0.047934192406420405-0.0027396280293185468j)	(-0.049209426110241844+0.0016709922048254093j)
36	NL	4	(0.024021473012166273+0.005570040972270973j)	(-0.030810745733213074-0.00608019112463185j)
37	OV	4	(0.011808875133970359-0.0006467627639701195j)	(0.0033541688896469592+0.002449143118544319j)
38	PT	4	(0.008961284156092993+0.007962097014842639j)	(0.000981180749624586-0.006376823970335524j)
39	SC	4	(0.012762126009976596+0.0028252482933299856j)	(-0.00811606261140012+0.012170483179987273j)
